Model_Type,linear,linear,linear,linear,linear,linear,linear,linear,performer,performer,performer,performer,performer,performer,performer,performer,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard
PE_Type,absolute,absolute,absolute,absolute,rope,rope,rope,rope,absolute,absolute,absolute,absolute,rope,rope,rope,rope,absolute,absolute,absolute,absolute,rope,rope,rope,rope,rpe,rpe,rpe,rpe
Attention_Only,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True
Use_Residual,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
Dataset_Setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMM_V3_O1,0.80501,0.30072,0.36904,0.27222,1.0927,0.10508,0.15118,0.098,1.68435,0.11192,0.26117,0.36761,0.45421,0.04452,0.34483,0.08376,0.35747,0.21958,0.09526,0.15542,0.5521,0.05286,0.2378,0.04148,0.1776,0.1194,0.37085,0.33198
ICL-Markov_V2_O1,0.08724,0.07962,0.08722,0.07877,0.08863,0.08107,0.09023,0.08016,0.0887,0.07974,0.08809,0.07725,0.08724,0.0782,0.091,0.07975,0.0928,0.07668,0.08414,0.07443,0.09048,0.07802,0.08073,0.07883,0.08817,0.08118,0.09296,0.08015
ICL-Markov_V2_O2,0.14601,0.13636,0.14305,0.1305,0.14038,0.13426,0.14078,0.13678,0.13888,0.13382,0.14428,0.13689,0.14419,0.13392,0.1427,0.13796,0.14676,0.13738,0.14733,0.1385,0.13714,0.1342,0.14401,0.13739,0.14481,0.13551,0.14908,0.13955
ICL-Markov_V3_O1,0.17062,0.16448,0.17263,0.16687,0.17105,0.16054,0.17281,0.1655,0.17231,0.16656,0.17294,0.16408,0.17232,0.16371,0.17487,0.16611,0.17812,0.165,0.17238,0.16491,0.1689,0.16557,0.17529,0.16487,0.17513,0.17032,0.17058,0.1643
ICL-Markov_V3_O2,0.23637,0.24046,0.24297,0.24342,0.24504,0.24226,0.24152,0.24058,0.24102,0.23651,0.24478,0.23391,0.24168,0.23849,0.24318,0.24156,0.24088,0.24001,0.2384,0.23741,0.24266,0.23644,0.24527,0.23623,0.24146,0.23977,0.24744,0.24228
Markov_V2_O1,0.09125,0.45161,0.68522,0.11868,0.0011,0.3632,0.05146,2.16616,0.63994,0.31888,0.40622,0.14736,1.32941,0.1552,0.72758,0.46356,0.36717,1.83157,0.31041,0.0525,0.50186,0.10122,0.28133,0.49758,0.0578,0.00351,0.37974,0.10039
Markov_V2_O2,0.30296,0.22121,0.45084,0.11264,0.43557,0.77943,0.28354,0.22849,0.25678,0.53088,0.65722,0.16534,0.44311,0.30001,0.30473,0.19778,0.22333,0.21463,0.88126,0.16056,0.17121,0.04648,0.62201,0.53109,0.47885,0.26078,0.23866,0.30931
Markov_V3_O1,0.16895,0.50997,0.48954,1.66334,0.27204,0.35006,0.55584,0.55467,0.83066,0.83598,0.72801,0.45826,2.35948,0.90352,0.708,0.89219,0.54955,0.19996,1.21469,0.32371,0.70213,0.38779,1.09199,0.71362,0.38612,0.62408,0.32932,0.49425
Markov_V3_O2,0.38233,0.29467,0.50402,0.52013,0.54629,0.51124,0.48162,0.32557,0.22646,0.27756,0.36577,0.42607,0.39008,0.2874,0.37455,0.327,0.56034,0.53347,0.70133,0.27288,0.52392,0.34183,0.38268,0.36634,0.6711,0.31428,0.30268,0.66993
