Model_Type,linear,linear,linear,linear,linear,linear,linear,linear,performer,performer,performer,performer,performer,performer,performer,performer,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard
PE_Type,absolute,absolute,absolute,absolute,rope,rope,rope,rope,absolute,absolute,absolute,absolute,rope,rope,rope,rope,absolute,absolute,absolute,absolute,rope,rope,rope,rope,rpe,rpe,rpe,rpe
Attention_Only,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True
Use_Residual,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
Dataset_Setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMM_V2_O1,0.08532,0.23902,0.18452,0.67842,0.38672,0.07048,0.01269,0.70376,0.05155,0.03081,1.03083,0.15962,0.2154,0.2097,0.91286,0.75269,0.3434,0.12708,0.17318,0.02172,0.27677,0.00122,0.03861,1.36037,0.76108,1.02189,0.02256,0.02119
HMM_V2_O2,0.3697,0.39899,0.16837,0.11215,0.01504,0.03189,0.09081,1.14154,0.01438,0.27033,0.21388,0.03424,0.06933,0.10785,0.07927,0.22273,0.08604,0.23886,0.02515,0.04866,0.13828,0.04678,0.06893,0.04291,0.67889,0.13152,0.07986,0.17241
HMM_V3_O1,0.521,0.11018,0.24036,0.26672,0.27031,0.95864,0.59365,0.34939,0.17287,0.11894,0.56275,0.44371,0.30053,0.4121,0.13435,0.34241,0.0139,1.40866,0.5574,0.07281,0.06212,0.11891,0.30335,0.18255,0.19782,0.37279,0.84637,0.45706
HMM_V3_O2,0.01903,0.2931,0.05087,0.15948,0.4169,0.51069,0.11701,0.30026,0.22881,0.11406,0.31017,0.373,0.42146,0.35336,0.16001,0.38312,0.85504,0.13976,0.10622,0.77987,0.05372,0.29984,0.30939,0.26446,0.12526,0.11824,0.11202,0.62467
ICL-Markov_V2_O1,0.07127,0.07169,0.08515,0.07227,0.0812,0.06804,0.07819,0.071,0.05302,0.05306,0.04477,0.04347,0.06434,0.05681,0.06218,0.05405,0.06585,0.04607,0.06016,0.06153,0.07144,0.0408,0.06981,0.04404,0.08217,0.02267,0.06386,0.0626
ICL-Markov_V2_O2,0.13981,0.13215,0.13773,0.13389,0.13878,0.12696,0.14194,0.12807,0.126,0.12218,0.12555,0.12988,0.12754,0.13244,0.13057,0.13265,0.13384,0.13396,0.12853,0.12842,0.13371,0.11294,0.13306,0.11423,0.13413,0.12702,0.13245,0.13283
ICL-Markov_V3_O1,0.17238,0.16212,0.1785,0.15917,0.18253,0.15916,0.17803,0.16018,0.16376,0.15501,0.16665,0.15176,0.17643,0.14484,0.168,0.15712,0.16781,0.1598,0.16439,0.15826,0.16535,0.15812,0.17221,0.16305,0.16672,0.15382,0.15949,0.16247
ICL-Markov_V3_O2,0.24114,0.23233,0.24284,0.23752,0.24291,0.23665,0.24109,0.23688,0.23668,0.23525,0.2459,0.23673,0.23121,0.23502,0.24062,0.23544,0.24597,0.23626,0.24443,0.23658,0.23736,0.23992,0.24317,0.23681,0.24003,0.23602,0.24354,0.24428
Markov_V2_O1,0.05003,1.24498,0.31273,0.39684,0.15921,0.34794,0.69754,1.4458,1.42705,0.21072,0.09265,2.18148,0.05066,0.21742,0.98935,1.48896,0.10012,0.71275,1.04805,0.14184,0.26543,0.03055,0.89643,0.16185,0.02501,0.34557,0.09726,0.88903
Markov_V2_O2,0.27252,0.15786,0.26014,0.37537,0.34973,0.23153,0.51213,0.52186,0.29574,0.14756,0.219,0.49951,0.47996,0.41508,0.2412,0.69488,0.23749,0.06564,0.26806,0.2468,0.92979,1.47412,0.82649,0.34179,1.21302,0.79543,0.24926,0.08667
Markov_V3_O1,1.21365,0.3126,1.73881,1.08849,0.50426,0.68002,1.13176,0.14718,0.53324,1.10618,1.59753,1.07868,0.8895,1.32099,0.39147,0.26989,0.73184,0.34645,0.32295,0.34861,0.60453,0.49041,0.44644,1.42978,0.61667,0.28699,0.52465,0.42162
Markov_V3_O2,0.38547,0.5537,0.38441,0.32188,0.45146,0.31047,0.6906,0.29154,0.3119,0.31703,0.40541,0.71614,0.30534,0.24593,0.25881,0.78817,0.27291,1.0275,0.42825,0.23218,0.23047,0.88628,0.33213,0.91769,0.48502,0.68722,0.37294,0.51137
