tag,seed,n,K,n_head,causal,residual,n_layer,kl_same_suffix,hidden_gauss_nll_impr
n2_K3_H1_L1_causal1_res0_seed0,0,2,3,1,True,False,1,0.041047861592637166,0.12438782841466743
n2_K3_H1_L2_causal1_res0_seed0,0,2,3,1,True,False,2,0.04469492783149084,0.08553986835081176
n2_K3_H1_L1_causal0_res1_seed0,0,2,3,1,False,True,1,0.041047861592637166,0.12438782841466743
n2_K3_H1_L2_causal0_res1_seed0,0,2,3,1,False,True,2,0.04469492783149084,0.08553986835081176
n2_K3_H1_L1_causal0_res0_seed0,0,2,3,1,False,False,1,0.041047861592637166,0.12438782841466743
n2_K3_H1_L2_causal0_res0_seed0,0,2,3,1,False,False,2,0.04469492783149084,0.08553986835081176
n2_K3_H2_L1_causal1_res1_seed0,0,2,3,2,True,True,1,0.04070360213518143,0.12402419763111644
n2_K3_H2_L2_causal1_res1_seed0,0,2,3,2,True,True,2,0.1106352445979913,0.24519296160733606
n2_K3_H2_L1_causal1_res0_seed0,0,2,3,2,True,False,1,0.04070360213518143,0.12402419763111644
n2_K3_H2_L2_causal1_res0_seed0,0,2,3,2,True,False,2,0.1106352445979913,0.24519296160733606
n2_K3_H2_L1_causal0_res1_seed0,0,2,3,2,False,True,1,0.04070360213518143,0.12402419763111644
n2_K3_H2_L2_causal0_res1_seed0,0,2,3,2,False,True,2,0.1106352445979913,0.24519296160733606
n2_K3_H2_L1_causal0_res0_seed0,0,2,3,2,False,False,1,0.04070360213518143,0.12402419763111644
n2_K3_H2_L2_causal0_res0_seed0,0,2,3,2,False,False,2,0.1106352445979913,0.24519296160733606
n3_K2_H1_L1_causal1_res1_seed0,0,3,2,1,True,True,1,0.04216279834508896,0.17419726405215036
n3_K2_H1_L2_causal1_res1_seed0,0,3,2,1,True,True,2,0.03739475831389427,0.11573962283610897
n3_K2_H1_L1_causal1_res0_seed0,0,3,2,1,True,False,1,0.04216279834508896,0.17419726405215036
n3_K2_H1_L2_causal1_res0_seed0,0,3,2,1,True,False,2,0.03739475831389427,0.11573962283610897
n3_K2_H1_L1_causal0_res1_seed0,0,3,2,1,False,True,1,0.04216279834508896,0.17419726405215036
n3_K2_H1_L2_causal0_res1_seed0,0,3,2,1,False,True,2,0.03739475831389427,0.11573962283610897
n3_K2_H1_L1_causal0_res0_seed0,0,3,2,1,False,False,1,0.04216279834508896,0.17419726405215036
n3_K2_H1_L2_causal0_res0_seed0,0,3,2,1,False,False,2,0.03739475831389427,0.11573962283610897
n3_K2_H2_L1_causal1_res1_seed0,0,3,2,2,True,True,1,0.11375468783080578,0.3103764667034232
n3_K2_H2_L2_causal1_res1_seed0,0,3,2,2,True,True,2,0.10018543899059296,0.21647808426394957
n3_K2_H2_L1_causal1_res0_seed0,0,3,2,2,True,False,1,0.11375468783080578,0.3103764667034232
n3_K2_H2_L2_causal1_res0_seed0,0,3,2,2,True,False,2,0.10018543899059296,0.21647808426394957
n3_K2_H2_L1_causal0_res1_seed0,0,3,2,2,False,True,1,0.11375468783080578,0.3103764667034232
n3_K2_H2_L2_causal0_res1_seed0,0,3,2,2,False,True,2,0.10018543899059296,0.21647808426394957
n3_K2_H2_L1_causal0_res0_seed0,0,3,2,2,False,False,1,0.11375468783080578,0.3103764667034232
n3_K2_H2_L2_causal0_res0_seed0,0,3,2,2,False,False,2,0.10018543899059296,0.21647808426394957
n3_K3_H1_L1_causal1_res1_seed0,0,3,3,1,True,True,1,0.007097745124526598,0.07375074033453424
n3_K3_H1_L2_causal1_res1_seed0,0,3,3,1,True,True,2,0.007068896097027593,0.05191066663763258
n3_K3_H1_L1_causal1_res0_seed0,0,3,3,1,True,False,1,0.007097745124526598,0.07375074033453424
n3_K3_H1_L2_causal1_res0_seed0,0,3,3,1,True,False,2,0.007068896097027593,0.05191066663763258
n3_K3_H1_L1_causal0_res1_seed0,0,3,3,1,False,True,1,0.007097745124526598,0.07375074033453424
n3_K3_H1_L2_causal0_res1_seed0,0,3,3,1,False,True,2,0.007068896097027593,0.05191066663763258
n3_K3_H1_L1_causal0_res0_seed0,0,3,3,1,False,False,1,0.007097745124526598,0.07375074033453424
n3_K3_H1_L2_causal0_res0_seed0,0,3,3,1,False,False,2,0.007068896097027593,0.05191066663763258
n3_K3_H2_L1_causal1_res1_seed0,0,3,3,2,True,True,1,0.007717053319706961,0.08263869291055277
n3_K3_H2_L2_causal1_res1_seed0,0,3,3,2,True,True,2,0.0068549339538785045,0.04663291278248012
n3_K3_H2_L1_causal1_res0_seed0,0,3,3,2,True,False,1,0.007717053319706961,0.08263869291055277
n3_K3_H2_L2_causal1_res0_seed0,0,3,3,2,True,False,2,0.0068549339538785045,0.04663291278248012
n3_K3_H2_L1_causal0_res1_seed0,0,3,3,2,False,True,1,0.007717053319706961,0.08263869291055277
n3_K3_H2_L2_causal0_res1_seed0,0,3,3,2,False,True,2,0.0068549339538785045,0.04663291278248012
n3_K3_H2_L1_causal0_res0_seed0,0,3,3,2,False,False,1,0.007717053319706961,0.08263869291055277
n3_K3_H2_L2_causal0_res0_seed0,0,3,3,2,False,False,2,0.0068549339538785045,0.04663291278248012
