context_idx,tok=0,tok=1
0,0.76445717,0.23554282
1,0.5479271,0.45207292
2,0.52365875,0.47634125
3,0.5042679,0.49573213
4,0.46154755,0.53845245
5,0.46444902,0.53555095
6,0.39270186,0.6072981
7,0.2564649,0.7435351
