Model_Type,linear,linear,linear,linear,performer,performer,performer,performer,standard,standard,standard,standard,standard,standard
PE_Type,absolute,absolute,rope,rope,absolute,absolute,rope,rope,absolute,absolute,rope,rope,rpe,rpe
Attention_Only,False,True,False,True,False,True,False,True,False,True,False,True,False,True
Dataset_Setting,,,,,,,,,,,,,,
HMM_V3_O1,0.25696,0.14148,0.10818,0.05204,0.02776,0.18776,0.38538,0.12488,0.11403,0.48457,0.30294,0.06335,0.03126,0.10163
ICL-Markov_V2_O1,0.06407,0.07239,0.0678,0.07644,0.05068,0.05952,0.05195,0.06036,0.05696,0.0637,0.03039,0.03772,0.01659,0.07297
ICL-Markov_V2_O2,0.12908,0.12795,0.1332,0.1331,0.12848,0.12265,0.12107,0.12541,0.1326,0.13132,0.11,0.12624,0.12448,0.13472
ICL-Markov_V3_O1,0.16151,0.16365,0.16189,0.1634,0.15588,0.15367,0.14185,0.14992,0.1617,0.15702,0.13303,0.15135,0.05264,0.16109
ICL-Markov_V3_O2,0.23597,0.23005,0.23874,0.23664,0.23408,0.23535,0.23647,0.2339,0.23836,0.23873,0.24048,0.23354,0.23832,0.2333
Markov_V2_O1,0.04857,0.01115,0.04267,0.25801,0.06062,0.08235,0.34509,0.18975,0.17968,0.5371,0.41272,0.18668,0.65116,0.86212
Markov_V2_O2,0.19537,0.11768,0.07764,0.06214,0.1792,0.2587,0.42646,0.12595,0.33072,0.14189,0.36293,0.04095,0.85115,0.04009
Markov_V3_O1,0.27299,0.60097,0.82656,0.3661,0.61001,0.18277,0.35138,0.07862,0.57197,0.1799,0.5307,0.70862,0.39173,0.67504
Markov_V3_O2,0.26129,0.39251,0.28058,0.20913,0.28132,0.27447,0.4059,0.33804,0.38737,0.30202,0.53167,0.64504,0.35598,0.15248
