Model_Type,linear,linear,linear,linear,performer,performer,performer,performer,standard,standard,standard,standard,standard,standard
PE_Type,absolute,absolute,rope,rope,absolute,absolute,rope,rope,absolute,absolute,rope,rope,rpe,rpe
Attention_Only,False,True,False,True,False,True,False,True,False,True,False,True,False,True
Dataset_Setting,,,,,,,,,,,,,,
HMM_V3_O1,0.52334,0.43935,0.34426,0.0315,0.10277,0.25107,0.13128,0.12054,0.17844,0.66522,0.0598,0.29282,0.29423,0.52212
ICL-Markov_V2_O1,0.0777,0.07717,0.07801,0.07745,0.07413,0.07856,0.07814,0.0784,0.07526,0.07236,0.08157,0.07527,0.07455,0.07783
ICL-Markov_V2_O2,0.1285,0.13387,0.13787,0.13432,0.13347,0.13465,0.1325,0.13432,0.13588,0.13774,0.13101,0.131,0.13375,0.13892
ICL-Markov_V3_O1,0.16113,0.16512,0.16531,0.1676,0.16673,0.16474,0.16531,0.16665,0.16515,0.16548,0.16928,0.16288,0.16311,0.16588
ICL-Markov_V3_O2,0.23898,0.23827,0.2385,0.24175,0.23476,0.23701,0.23631,0.23654,0.23321,0.23879,0.23703,0.24076,0.24321,0.2409
Markov_V2_O1,1.01796,0.02276,0.42083,0.38763,0.51023,0.40224,0.1977,0.04492,0.25696,0.1216,0.20461,0.0839,0.24543,0.08911
Markov_V2_O2,0.12452,0.23219,0.07017,0.31623,0.3609,0.70582,0.12483,0.10176,0.12657,0.23894,0.19562,0.13014,0.46876,0.09649
Markov_V3_O1,0.43433,0.08361,0.07612,0.40195,0.69443,0.63347,0.35252,0.18176,0.69524,0.48885,0.26983,0.32795,0.37824,0.5743
Markov_V3_O2,0.22319,0.34221,0.32252,0.21492,0.52738,0.19582,0.23363,0.17093,0.32969,0.41328,0.25836,0.32421,0.34906,0.26042
