Model_Type,linear,linear,linear,linear,performer,performer,performer,performer,standard,standard,standard,standard,standard,standard
PE_Type,absolute,absolute,rope,rope,absolute,absolute,rope,rope,absolute,absolute,rope,rope,rpe,rpe
Attention_Only,False,True,False,True,False,True,False,True,False,True,False,True,False,True
Dataset_Setting,,,,,,,,,,,,,,
HMM_V3_O1,0.06524,0.27834,0.03009,0.06041,0.25382,0.06072,0.23973,0.10432,0.10128,0.08555,0.21796,0.07954,0.22817,0.65359
ICL-Markov_V2_O1,0.07349,0.07753,0.07441,0.07711,0.07059,0.07692,0.07531,0.07869,0.07243,0.07443,0.07706,0.07847,0.07098,0.0735
ICL-Markov_V2_O2,0.13089,0.12957,0.12943,0.13111,0.12821,0.12673,0.12966,0.13072,0.12905,0.13033,0.12464,0.13227,0.12194,0.12337
ICL-Markov_V3_O1,0.15727,0.16365,0.1542,0.16039,0.1569,0.1606,0.16176,0.15646,0.15711,0.15386,0.16163,0.16129,0.1543,0.15837
ICL-Markov_V3_O2,0.23692,0.23359,0.2375,0.23696,0.23622,0.23481,0.23462,0.23148,0.23551,0.23268,0.23555,0.23922,0.23543,0.23595
Markov_V2_O1,0.46978,0.31335,0.3817,0.04507,0.07477,0.04015,0.28533,0.4922,0.51464,0.18005,0.05586,0.37012,0.03578,0.57514
Markov_V2_O2,0.21407,0.29241,0.07091,0.41442,0.18295,0.43342,0.55995,0.04672,1.34578,0.43436,0.36085,0.3381,0.43819,0.36477
Markov_V3_O1,1.23712,0.45572,0.34807,0.25709,1.08248,0.4192,0.4402,0.36532,0.17466,0.2791,0.27576,0.36645,0.09661,0.11334
Markov_V3_O2,0.39476,0.3022,0.30727,0.64072,0.5552,0.32254,0.3099,0.30739,0.35565,0.39118,0.55375,0.75733,0.30893,0.35113
