Model_Type,linear,linear,linear,linear,performer,performer,performer,performer,standard,standard,standard,standard,standard,standard
PE_Type,absolute,absolute,rope,rope,absolute,absolute,rope,rope,absolute,absolute,rope,rope,rpe,rpe
Attention_Only,False,True,False,True,False,True,False,True,False,True,False,True,False,True
Dataset_Setting,,,,,,,,,,,,,,
HMM_V3_O1,0.26411,0.03524,0.08296,0.21253,0.10129,0.11239,0.70591,0.02071,0.08874,0.04663,0.42451,0.56229,0.26177,0.20044
ICL-Markov_V2_O1,0.02538,0.02913,0.0392,0.04424,0.02009,0.02284,0.02591,0.02628,0.02212,0.03619,0.01938,0.01842,0.01304,0.01624
ICL-Markov_V2_O2,0.11112,0.11614,0.12143,0.11944,0.1013,0.10338,0.10901,0.1101,0.10408,0.11294,0.09505,0.10562,0.02607,0.03123
ICL-Markov_V3_O1,0.14526,0.11208,0.1426,0.13546,0.04319,0.0745,0.08352,0.09739,0.05046,0.06127,0.04501,0.06809,0.03373,0.03994
ICL-Markov_V3_O2,0.23485,0.23605,0.23306,0.23117,0.21656,0.22485,0.22923,0.23079,0.22278,0.22946,0.19238,0.19776,0.08428,0.08379
Markov_V2_O1,0.18463,0.20748,0.02557,0.26783,0.23229,0.01308,0.39037,0.0419,0.04434,0.55548,0.25966,0.659,0.20005,0.14636
Markov_V2_O2,0.13963,0.17421,0.19514,0.0817,0.17621,0.81632,0.25325,0.15567,0.30075,0.2965,0.31031,0.23394,0.11502,0.26524
Markov_V3_O1,0.67012,0.70789,0.69616,0.07018,0.55567,0.48683,0.39205,0.13874,0.40451,0.49325,0.17398,0.44609,0.20868,0.10438
Markov_V3_O2,0.2423,0.21592,0.47754,0.2485,0.62081,0.34769,0.35111,0.32208,0.43934,0.43214,0.57892,0.42719,0.65299,0.8824
