Model_Type,linear,linear,linear,linear,performer,performer,performer,performer,standard,standard,standard,standard,standard,standard
PE_Type,absolute,absolute,rope,rope,absolute,absolute,rope,rope,absolute,absolute,rope,rope,rpe,rpe
Attention_Only,False,True,False,True,False,True,False,True,False,True,False,True,False,True
Dataset_Setting,,,,,,,,,,,,,,
HMM_V3_O1,0.20431,0.26288,0.06539,0.24592,0.31531,0.05854,0.2897,0.32457,0.00988,0.22335,0.22354,0.26314,0.03003,0.15144
ICL-Markov_V2_O1,0.07756,0.07249,0.07469,0.07557,0.07361,0.07655,0.07354,0.07554,0.07281,0.07528,0.07575,0.0743,0.0736,0.07478
ICL-Markov_V2_O2,0.12889,0.12914,0.13591,0.14096,0.13662,0.12791,0.13419,0.13563,0.12988,0.13525,0.1303,0.13016,0.13384,0.13772
ICL-Markov_V3_O1,0.16204,0.15938,0.16496,0.15977,0.15797,0.15745,0.16182,0.15992,0.1616,0.15707,0.15659,0.16085,0.16468,0.15821
ICL-Markov_V3_O2,0.2401,0.23542,0.23994,0.23374,0.23087,0.2399,0.23915,0.23534,0.23441,0.23531,0.23989,0.23737,0.2388,0.24079
Markov_V2_O1,0.20766,0.31357,0.19909,0.19993,0.022,0.10526,0.04119,0.0571,0.15439,0.84067,0.07967,0.18175,0.04928,0.51616
Markov_V2_O2,0.22613,0.94852,0.19782,0.05518,0.15979,0.02365,0.15594,0.16278,0.0679,0.21502,0.33564,0.44676,0.04105,0.49592
Markov_V3_O1,0.4836,0.26184,0.47415,0.36012,0.76614,0.70974,0.43807,0.59904,0.67683,0.12237,0.39909,0.78034,0.83182,0.25002
Markov_V3_O2,0.28221,0.23899,0.2307,0.58132,0.39792,0.35764,0.33402,0.31911,0.36341,0.49878,0.30296,0.6549,0.38783,0.36905
