Model_Type,linear,linear,linear,linear,performer,performer,performer,performer,standard,standard,standard,standard,standard,standard
PE_Type,absolute,absolute,rope,rope,absolute,absolute,rope,rope,absolute,absolute,rope,rope,rpe,rpe
Attention_Only,False,True,False,True,False,True,False,True,False,True,False,True,False,True
Dataset_Setting,,,,,,,,,,,,,,
HMM_V3_O1,0.12119,0.25856,0.42551,0.35234,0.29849,0.16726,1.20975,0.05571,0.00891,0.49107,0.0642,0.0206,0.20448,0.50232
ICL-Markov_V2_O1,0.07433,0.07262,0.07947,0.07828,0.07348,0.07447,0.08094,0.07272,0.0751,0.0751,0.07749,0.07693,0.07472,0.07895
ICL-Markov_V2_O2,0.13298,0.13766,0.12887,0.13281,0.13143,0.12912,0.13301,0.13698,0.12868,0.13004,0.13266,0.13359,0.13443,0.13367
ICL-Markov_V3_O1,0.15712,0.15762,0.16305,0.16476,0.16258,0.15873,0.16257,0.15995,0.15806,0.15826,0.15992,0.15763,0.16256,0.16028
ICL-Markov_V3_O2,0.23703,0.22901,0.23759,0.23384,0.23568,0.23314,0.23623,0.23901,0.2347,0.2302,0.23701,0.23718,0.24241,0.23256
Markov_V2_O1,0.53956,0.21956,1.21312,0.07369,0.05762,0.49463,0.12002,0.14789,0.07041,0.11069,0.72042,0.07126,0.57774,0.07008
Markov_V2_O2,0.07726,0.31823,0.42768,0.45944,0.26108,0.65036,0.42446,0.49176,0.21573,0.17862,0.1923,0.40161,0.48764,0.14622
Markov_V3_O1,0.58356,0.42416,0.81806,0.32098,0.08528,1.06963,0.65879,0.19004,0.69489,0.64879,0.41687,0.34656,0.7501,0.63908
Markov_V3_O2,0.27107,0.26896,0.2375,0.23955,0.18108,0.167,0.11717,0.30304,0.2228,0.16909,0.41399,0.68301,0.43512,0.55043
