Model_Type,linear,linear,linear,linear,performer,performer,performer,performer,standard,standard,standard,standard,standard,standard
PE_Type,absolute,absolute,rope,rope,absolute,absolute,rope,rope,absolute,absolute,rope,rope,rpe,rpe
Attention_Only,False,True,False,True,False,True,False,True,False,True,False,True,False,True
Dataset_Setting,,,,,,,,,,,,,,
HMM_V3_O1,0.0711,0.1118,0.02456,0.19984,0.06877,0.16992,0.07351,0.52649,0.18051,0.14147,0.16265,0.08699,0.08283,0.15844
ICL-Markov_V2_O1,0.07631,0.07564,0.08006,0.0778,0.07416,0.07352,0.07709,0.07959,0.07535,0.07658,0.07233,0.07435,0.0762,0.07275
ICL-Markov_V2_O2,0.13665,0.13593,0.13439,0.13701,0.13556,0.13336,0.13386,0.13612,0.13142,0.13122,0.13535,0.14019,0.13512,0.13767
ICL-Markov_V3_O1,0.16477,0.15963,0.16736,0.16719,0.16178,0.16245,0.16352,0.1671,0.16453,0.16296,0.16147,0.16323,0.16781,0.16895
ICL-Markov_V3_O2,0.23623,0.23616,0.239,0.23392,0.23249,0.23452,0.23713,0.2365,0.23943,0.245,0.24008,0.2399,0.24223,0.24126
Markov_V2_O1,0.30813,0.02996,0.12703,0.01566,0.32259,0.20508,0.25041,0.10628,0.02918,0.17988,0.20167,0.07634,0.6234,0.10484
Markov_V2_O2,0.38397,0.05746,0.10825,0.07837,0.1429,0.09358,0.27156,0.15938,0.11322,0.3517,0.33927,0.27106,0.1894,0.09046
Markov_V3_O1,0.22558,0.1412,0.30314,0.32488,0.32598,0.80069,0.31085,0.08312,0.82427,0.66849,0.60009,0.75632,0.83854,0.66372
Markov_V3_O2,0.29413,0.2178,0.48462,0.33091,0.26575,0.31455,0.29483,0.40745,0.27186,0.22772,0.21353,0.28283,0.28868,0.47919
