Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Use_LN,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
ICL-Markov_V2_O1,L2_H1_D16_linear_AttnOnlyTrue_PE-none_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,1,linear,True,none,True,True,2,1,16,0.0005,0.536270,0.542015,0.536270,0.063466
ICL-Markov_V2_O1,L2_H2_D16_linear_AttnOnlyTrue_PE-none_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,1,linear,True,none,True,True,2,2,16,0.0005,0.547428,0.537433,0.547428,0.057219
ICL-Markov_V2_O1,L2_H1_D16_linear_AttnOnlyTrue_PE-absolute_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,1,linear,True,absolute,True,True,2,1,16,0.0005,0.545747,0.541922,0.545747,0.059831
ICL-Markov_V2_O1,L2_H2_D16_linear_AttnOnlyTrue_PE-absolute_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,1,linear,True,absolute,True,True,2,2,16,0.0005,0.517261,0.518326,0.517261,0.034055
ICL-Markov_V2_O1,L2_H1_D16_linear_AttnOnlyTrue_PE-rope_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,1,linear,True,rope,True,True,2,1,16,0.0005,0.547562,0.541187,0.547562,0.059642
ICL-Markov_V2_O1,L2_H2_D16_linear_AttnOnlyTrue_PE-rope_ResTrue_LNTrue_LR0.0005,ICL-Markov,2,1,linear,True,rope,True,True,2,2,16,0.0005,0.522284,0.525325,0.522284,0.045512
ICL-Markov_V2_O1,L2_H1_D16_linear_AttnOnlyTrue_PE-none_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,1,linear,True,none,True,False,2,1,16,0.0005,0.548140,0.556249,0.548140,0.075138
ICL-Markov_V2_O1,L2_H2_D16_linear_AttnOnlyTrue_PE-none_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,1,linear,True,none,True,False,2,2,16,0.0005,0.547290,0.552435,0.547290,0.073905
ICL-Markov_V2_O1,L2_H1_D16_linear_AttnOnlyTrue_PE-absolute_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,1,linear,True,absolute,True,False,2,1,16,0.0005,0.552675,0.545803,0.552675,0.069945
ICL-Markov_V2_O1,L2_H2_D16_linear_AttnOnlyTrue_PE-absolute_ResTrue_LNFalse_LR0.0005,ICL-Markov,2,1,linear,True,absolute,True,False,2,2,16,0.0005,0.551072,0.547561,0.551072,0.068093
