Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0005,ICL-Markov,3,1,performer,True,absolute,True,2,1,16,0.0005,0.879137,0.884215,0.879137,0.066939
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0005,ICL-Markov,3,1,performer,True,absolute,True,2,2,16,0.0005,0.883591,0.892296,0.883591,0.074505
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0005,ICL-Markov,3,1,performer,True,absolute,False,2,1,16,0.0005,0.982635,0.980145,0.982635,0.161473
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0005,ICL-Markov,3,1,performer,True,absolute,False,2,2,16,0.0005,0.925047,0.938406,0.925047,0.121730
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LR0.0005,ICL-Markov,3,1,performer,True,rope,True,2,1,16,0.0005,0.908030,0.899771,0.908030,0.084078
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LR0.0005,ICL-Markov,3,1,performer,True,rope,True,2,2,16,0.0005,0.910286,0.915751,0.910285,0.097394
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LR0.0005,ICL-Markov,3,1,performer,True,rope,False,2,1,16,0.0005,0.991772,0.989867,0.991772,0.167539
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LR0.0005,ICL-Markov,3,1,performer,True,rope,False,2,2,16,0.0005,0.954942,0.950254,0.954942,0.127307
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0005,ICL-Markov,3,1,performer,False,absolute,True,2,1,16,0.0005,0.861822,0.861191,0.861822,0.041999
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0005,ICL-Markov,3,1,performer,False,absolute,True,2,2,16,0.0005,0.855523,0.859443,0.855523,0.043188
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0005,ICL-Markov,3,1,performer,False,absolute,False,2,1,16,0.0005,0.962550,0.966370,0.962550,0.146681
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0005,ICL-Markov,3,1,performer,False,absolute,False,2,2,16,0.0005,0.904049,0.912447,0.904049,0.091273
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyFalse_PE-rope_ResTrue_LR0.0005,ICL-Markov,3,1,performer,False,rope,True,2,1,16,0.0005,0.899812,0.885077,0.899812,0.066844
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyFalse_PE-rope_ResTrue_LR0.0005,ICL-Markov,3,1,performer,False,rope,True,2,2,16,0.0005,0.903832,0.902636,0.903832,0.083517
ICL-Markov_V3_O1,L2_H1_D16_performer_AttnOnlyFalse_PE-rope_ResFalse_LR0.0005,ICL-Markov,3,1,performer,False,rope,False,2,1,16,0.0005,0.990003,0.974704,0.990003,0.155767
ICL-Markov_V3_O1,L2_H2_D16_performer_AttnOnlyFalse_PE-rope_ResFalse_LR0.0005,ICL-Markov,3,1,performer,False,rope,False,2,2,16,0.0005,0.982025,0.975659,0.982025,0.159921
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0005,ICL-Markov,3,1,standard,True,absolute,True,2,1,16,0.0005,0.887569,0.883070,0.887569,0.068157
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0005,ICL-Markov,3,1,standard,True,absolute,True,2,2,16,0.0005,0.876303,0.877595,0.876303,0.061269
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0005,ICL-Markov,3,1,standard,True,absolute,False,2,1,16,0.0005,0.947671,0.957218,0.947671,0.133649
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0005,ICL-Markov,3,1,standard,True,absolute,False,2,2,16,0.0005,0.951311,0.960658,0.951311,0.142009
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyTrue_PE-rpe_ResTrue_LR0.0005,ICL-Markov,3,1,standard,True,rpe,True,2,1,16,0.0005,0.882549,0.859248,0.882549,0.044367
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyTrue_PE-rpe_ResTrue_LR0.0005,ICL-Markov,3,1,standard,True,rpe,True,2,2,16,0.0005,0.867607,0.857997,0.867607,0.039945
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyTrue_PE-rpe_ResFalse_LR0.0005,ICL-Markov,3,1,standard,True,rpe,False,2,1,16,0.0005,0.983852,0.990928,0.983852,0.172619
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyTrue_PE-rpe_ResFalse_LR0.0005,ICL-Markov,3,1,standard,True,rpe,False,2,2,16,0.0005,0.974271,0.970890,0.974271,0.156470
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyTrue_PE-rope_ResTrue_LR0.0005,ICL-Markov,3,1,standard,True,rope,True,2,1,16,0.0005,0.913447,0.907955,0.913447,0.090460
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyTrue_PE-rope_ResTrue_LR0.0005,ICL-Markov,3,1,standard,True,rope,True,2,2,16,0.0005,0.890070,0.890020,0.890070,0.068090
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyTrue_PE-rope_ResFalse_LR0.0005,ICL-Markov,3,1,standard,True,rope,False,2,1,16,0.0005,1.010379,0.995249,1.010379,0.174329
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyTrue_PE-rope_ResFalse_LR0.0005,ICL-Markov,3,1,standard,True,rope,False,2,2,16,0.0005,0.886304,0.886413,0.886304,0.069954
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0005,ICL-Markov,3,1,standard,False,absolute,True,2,1,16,0.0005,0.862302,0.867450,0.862302,0.050962
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0005,ICL-Markov,3,1,standard,False,absolute,True,2,2,16,0.0005,0.878684,0.873058,0.878684,0.050459
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0005,ICL-Markov,3,1,standard,False,absolute,False,2,1,16,0.0005,0.976031,0.982664,0.976031,0.164352
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0005,ICL-Markov,3,1,standard,False,absolute,False,2,2,16,0.0005,0.956642,0.955122,0.956642,0.140864
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyFalse_PE-rpe_ResTrue_LR0.0005,ICL-Markov,3,1,standard,False,rpe,True,2,1,16,0.0005,0.853545,0.851696,0.853545,0.036290
