Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Layers,Heads,Embed_Dim,LR,Final_CE,Final_KL
ICL-Markov_V3_O2,L2_H1_D16_attention-only_LR0.0005,ICL-Markov,3,2,attention-only,2,1,16,0.0005,0.951590,0.303259
ICL-Markov_V3_O2,L2_H2_D16_attention-only_LR3e-05,ICL-Markov,3,2,attention-only,2,2,16,3e-05,1.054645,0.248496
ICL-Markov_V3_O2,L2_H2_D16_attention-only_LR0.0001,ICL-Markov,3,2,attention-only,2,2,16,0.0001,1.060700,0.251082
ICL-Markov_V3_O2,L2_H2_D16_attention-only_LR0.0005,ICL-Markov,3,2,attention-only,2,2,16,0.0005,0.893188,0.383288
ICL-Markov_V3_O2,L2_H1_D16_standard_LR3e-05,ICL-Markov,3,2,standard,2,1,16,3e-05,1.058741,0.243238
ICL-Markov_V3_O2,L2_H1_D16_standard_LR0.0001,ICL-Markov,3,2,standard,2,1,16,0.0001,1.053253,0.244876
ICL-Markov_V3_O2,L2_H1_D16_standard_LR0.0005,ICL-Markov,3,2,standard,2,1,16,0.0005,0.919313,0.319280
ICL-Markov_V3_O2,L2_H2_D16_standard_LR3e-05,ICL-Markov,3,2,standard,2,2,16,3e-05,1.064590,0.248513
ICL-Markov_V3_O2,L2_H2_D16_standard_LR0.0001,ICL-Markov,3,2,standard,2,2,16,0.0001,1.049780,0.246165
ICL-Markov_V3_O2,L2_H2_D16_standard_LR0.0005,ICL-Markov,3,2,standard,2,2,16,0.0005,0.901936,0.365020
ICL-Markov_V3_O2,L2_H1_D16_linear_LR3e-05,ICL-Markov,3,2,linear,2,1,16,3e-05,1.056776,0.248664
ICL-Markov_V3_O2,L2_H1_D16_linear_LR0.0001,ICL-Markov,3,2,linear,2,1,16,0.0001,1.067106,0.251966
ICL-Markov_V3_O2,L2_H1_D16_linear_LR0.0005,ICL-Markov,3,2,linear,2,1,16,0.0005,1.057806,0.248985
ICL-Markov_V3_O2,L2_H2_D16_linear_LR3e-05,ICL-Markov,3,2,linear,2,2,16,3e-05,1.056587,0.253484
ICL-Markov_V3_O2,L2_H2_D16_linear_LR0.0001,ICL-Markov,3,2,linear,2,2,16,0.0001,1.058117,0.249778
ICL-Markov_V3_O2,L2_H2_D16_linear_LR0.0005,ICL-Markov,3,2,linear,2,2,16,0.0005,1.047859,0.242940
ICL-Markov_V3_O2,L1_H1_D16_attention-only_LR3e-05,ICL-Markov,3,2,attention-only,1,1,16,3e-05,1.058377,0.247648
