Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,standard,True,rope,True,2,1,16,0.0001,0.968834,0.970765,0.968834,0.151347
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,standard,True,rope,True,2,2,16,0.0001,0.973745,0.978012,0.973745,0.163052
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,standard,True,rope,False,2,1,16,0.0001,0.993722,0.995496,0.993722,0.174362
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,standard,True,rope,False,2,2,16,0.0001,0.984137,0.989448,0.984137,0.172210
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,standard,False,absolute,True,2,1,16,0.0001,0.985708,0.981451,0.985708,0.161704
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,standard,False,absolute,True,2,2,16,0.0001,0.976710,0.978373,0.976710,0.159800
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,standard,False,absolute,False,2,1,16,0.0001,0.995612,0.988987,0.995612,0.165025
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,standard,False,absolute,False,2,2,16,0.0001,0.982326,0.986285,0.982326,0.167814
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyFalse_PE-rpe_ResTrue_LR0.0001,ICL-Markov,3,1,standard,False,rpe,True,2,1,16,0.0001,0.873453,0.871607,0.873453,0.052637
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyFalse_PE-rpe_ResTrue_LR0.0001,ICL-Markov,3,1,standard,False,rpe,True,2,2,16,0.0001,0.970981,0.971395,0.970981,0.153824
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyFalse_PE-rpe_ResFalse_LR0.0001,ICL-Markov,3,1,standard,False,rpe,False,2,1,16,0.0001,0.989778,0.983008,0.989778,0.169042
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyFalse_PE-rpe_ResFalse_LR0.0001,ICL-Markov,3,1,standard,False,rpe,False,2,2,16,0.0001,0.991336,0.983868,0.991336,0.166721
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,standard,False,rope,True,2,1,16,0.0001,0.960430,0.953639,0.960430,0.133033
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,standard,False,rope,True,2,2,16,0.0001,0.980335,0.975542,0.980335,0.158123
ICL-Markov_V3_O1,L2_H1_D16_standard_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,standard,False,rope,False,2,1,16,0.0001,0.988031,0.988263,0.988031,0.168599
ICL-Markov_V3_O1,L2_H2_D16_standard_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,standard,False,rope,False,2,2,16,0.0001,0.985700,0.985682,0.985700,0.165346
ICL-Markov_V3_O1,L2_H1_D16_linear_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,linear,True,absolute,True,2,1,16,0.0001,0.985629,0.981766,0.985629,0.163654
ICL-Markov_V3_O1,L2_H2_D16_linear_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,linear,True,absolute,True,2,2,16,0.0001,0.970089,0.976038,0.970089,0.159171
ICL-Markov_V3_O1,L2_H1_D16_linear_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,linear,True,absolute,False,2,1,16,0.0001,0.996085,0.994835,0.996085,0.175070
ICL-Markov_V3_O1,L2_H2_D16_linear_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,linear,True,absolute,False,2,2,16,0.0001,0.996227,0.998989,0.996227,0.178495
ICL-Markov_V3_O1,L2_H1_D16_linear_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,linear,True,rope,True,2,1,16,0.0001,0.987721,0.984558,0.987721,0.163395
ICL-Markov_V3_O1,L2_H2_D16_linear_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,linear,True,rope,True,2,2,16,0.0001,0.989574,0.979333,0.989574,0.160183
ICL-Markov_V3_O1,L2_H1_D16_linear_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,linear,True,rope,False,2,1,16,0.0001,1.001807,0.996684,1.001807,0.177326
ICL-Markov_V3_O1,L2_H2_D16_linear_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,linear,True,rope,False,2,2,16,0.0001,1.004498,0.999609,1.004498,0.178033
ICL-Markov_V3_O1,L2_H1_D16_linear_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,linear,False,absolute,True,2,1,16,0.0001,0.979782,0.973953,0.979782,0.161508
ICL-Markov_V3_O1,L2_H2_D16_linear_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,linear,False,absolute,True,2,2,16,0.0001,0.978527,0.975537,0.978527,0.162120
