context_idx,tok=0,tok=1,tok=2
0,0.55633545,0.2194311,0.22423346
1,0.3528464,0.31847477,0.32867885
2,0.36108273,0.32941777,0.3094995
3,0.35212055,0.375,0.27287945
4,0.3658385,0.2931677,0.3409938
5,0.35843372,0.31626505,0.3253012
6,0.3478261,0.25344646,0.39872748
7,0.36439267,0.34442595,0.29118136
8,0.35231316,0.31672597,0.33096084
9,0.33312994,0.35204393,0.3148261
10,0.3848363,0.3090178,0.3061459
11,0.29693252,0.3797546,0.32331288
12,0.30494678,0.35378835,0.34126487
13,0.17759764,0.6226971,0.19970523
14,0.3414345,0.34380558,0.31475994
15,0.33251232,0.34359607,0.32389164
16,0.28006414,0.32282203,0.39711383
17,0.34749034,0.35456887,0.2979408
18,0.30017152,0.3070326,0.3927959
19,0.3139458,0.32848644,0.35756776
20,0.3890411,0.2991781,0.3117808
21,0.32081097,0.3094812,0.36970782
22,0.31487888,0.33160323,0.3535179
23,0.26381767,0.44786325,0.28831908
24,0.34981686,0.3003663,0.34981686
25,0.33484456,0.34132123,0.3238342
26,0.20674774,0.18477835,0.6084739
