context_idx,tok=0,tok=1,tok=2
0,0.44944233,0.27285478,0.27770293
1,0.36199665,0.3390063,0.29899704
2,0.37184465,0.2790369,0.34911847
3,0.34856135,0.3441265,0.30731216
4,0.3383966,0.35608622,0.30551717
5,0.34089714,0.32225713,0.33684576
6,0.3523125,0.29358515,0.3541023
7,0.33417144,0.31314805,0.35268053
8,0.33376777,0.28617635,0.38005584
9,0.34946352,0.33805612,0.31248036
10,0.34842068,0.34486297,0.30671632
11,0.3404236,0.32346326,0.33611313
12,0.31174767,0.37743744,0.31081483
13,0.28109986,0.43055898,0.28834116
14,0.30670616,0.3599864,0.33330742
15,0.31133613,0.33432084,0.35434303
16,0.29769617,0.34256774,0.35973617
17,0.3032297,0.32213175,0.3746386
18,0.35389057,0.299573,0.34653643
19,0.34005848,0.31017822,0.3497633
20,0.34162074,0.2859338,0.37244543
21,0.31414852,0.32793188,0.35791957
22,0.29849654,0.34698316,0.35452026
23,0.29721844,0.326782,0.3759996
24,0.30497348,0.3050513,0.38997522
25,0.2986667,0.30619752,0.3951358
26,0.28395742,0.26767078,0.4483718
