Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
linear,1,1,rope,True,True,0.0001,0.53002,0.53633,0.53002,0.05518
linear,2,2,absolute,False,True,3e-05,0.57701,0.57649,0.57701,0.05746
linear,2,1,rope,False,True,0.0001,0.66807,0.66592,0.66807,0.06214
linear,1,1,rope,False,False,3e-05,0.69942,0.6969,0.69942,0.07017
linear,1,1,rope,False,False,0.0005,0.58455,0.58603,0.58455,0.07091
linear,2,2,absolute,True,True,3e-05,0.71792,0.71498,0.71792,0.07562
linear,1,2,absolute,True,False,0.0001,0.67537,0.66878,0.67537,0.07726
linear,2,1,rope,False,False,0.0001,0.66564,0.6628,0.66564,0.07764
linear,2,2,rope,True,True,3e-05,0.57627,0.57573,0.57627,0.07837
linear,2,2,rope,False,True,0.0005,0.62468,0.62185,0.62468,0.0817
linear,2,1,absolute,True,True,0.0005,0.65005,0.65434,0.65005,0.08588
linear,2,2,rope,True,False,3e-05,0.70722,0.70986,0.70722,0.10825
linear,1,2,absolute,True,True,3e-05,0.66995,0.67154,0.66995,0.11264
linear,2,1,rope,True,False,0.0001,0.5338,0.54164,0.5338,0.11434
linear,2,1,absolute,True,True,0.0001,0.40214,0.39744,0.40214,0.11768
linear,1,1,absolute,False,False,3e-05,0.27172,0.27542,0.27172,0.12452
linear,2,1,absolute,False,False,3e-05,0.66781,0.66785,0.66781,0.12897
linear,2,2,absolute,False,False,0.0005,0.66155,0.661,0.66155,0.13963
linear,2,2,rope,True,True,0.0005,0.6946,0.69375,0.6946,0.14035
linear,2,1,absolute,True,False,0.0005,0.75858,0.75371,0.75858,0.14806
linear,2,1,rope,True,False,3e-05,0.58043,0.58254,0.58043,0.15033
linear,2,2,absolute,True,False,0.0001,0.54495,0.54525,0.54495,0.15786
linear,2,2,absolute,False,True,0.0005,0.73789,0.74295,0.73789,0.17421
linear,2,2,rope,True,False,0.0005,0.52774,0.5314,0.52774,0.19514
linear,2,1,absolute,True,False,0.0001,0.84594,0.85275,0.84594,0.19537
linear,1,1,rope,True,False,0.0001,0.4053,0.40323,0.4053,0.19782
linear,1,1,absolute,True,False,3e-05,0.72322,0.72471,0.72322,0.20722
linear,1,1,absolute,False,False,0.0005,0.81452,0.81298,0.81452,0.21407
linear,1,2,absolute,True,False,3e-05,0.57462,0.5753,0.57462,0.22121
linear,1,1,absolute,False,False,0.0001,0.76012,0.75886,0.76012,0.22613
linear,1,2,rope,True,True,3e-05,0.82211,0.80521,0.82211,0.22849
linear,2,2,rope,True,False,0.0001,0.82026,0.82618,0.82026,0.23153
linear,1,1,absolute,False,True,3e-05,0.70738,0.70521,0.70738,0.23219
linear,2,1,absolute,False,False,0.0005,0.81943,0.81778,0.81943,0.23613
linear,1,2,rope,False,True,0.0005,0.75882,0.75229,0.75882,0.25201
linear,2,1,absolute,False,False,0.0001,0.78104,0.78918,0.78104,0.25519
linear,2,2,rope,False,True,3e-05,0.70918,0.70894,0.70918,0.25788
linear,2,2,absolute,False,True,0.0001,0.41558,0.41732,0.41558,0.26014
linear,1,2,absolute,False,False,0.0001,0.85674,0.85046,0.85674,0.2623
linear,2,2,absolute,False,False,0.0001,0.70801,0.70812,0.70801,0.27252
linear,1,2,rope,False,True,3e-05,0.82112,0.81756,0.82112,0.28354
linear,2,1,absolute,False,True,3e-05,0.75753,0.76479,0.75753,0.28433
linear,1,2,rope,True,True,0.0005,0.48269,0.47663,0.48269,0.28663
linear,1,1,absolute,True,True,3e-05,0.84779,0.84063,0.84779,0.29163
linear,1,1,absolute,True,True,0.0005,0.75373,0.74777,0.75373,0.29241
linear,1,2,absolute,False,False,3e-05,0.94762,0.9604,0.94762,0.30296
linear,2,1,absolute,True,False,3e-05,0.86679,0.86883,0.86679,0.30314
linear,1,1,rope,False,False,0.0001,0.96932,0.9535,0.96932,0.3138
linear,1,2,rope,True,False,0.0005,0.88716,0.88909,0.88716,0.31502
linear,1,1,rope,False,True,3e-05,0.73536,0.73331,0.73536,0.31623
linear,1,2,absolute,False,True,0.0001,0.74395,0.74126,0.74395,0.31823
linear,2,1,rope,True,True,3e-05,0.71834,0.71925,0.71834,0.33733
linear,2,2,rope,False,False,0.0005,0.77365,0.77487,0.77365,0.346
linear,2,2,rope,False,False,0.0001,0.95588,0.94527,0.95588,0.34973
linear,1,1,absolute,True,False,0.0005,0.84318,0.84644,0.84318,0.3624
linear,2,1,rope,False,True,0.0005,0.82694,0.82621,0.82694,0.36281
linear,1,1,rope,True,False,0.0005,0.69454,0.70009,0.69454,0.37136
linear,2,2,absolute,True,True,0.0001,0.84357,0.85442,0.84357,0.37537
linear,2,2,absolute,True,False,3e-05,1.02752,1.00553,1.02752,0.38397
linear,1,2,absolute,True,True,0.0005,1.02799,1.02648,1.02799,0.40608
linear,1,1,rope,True,True,0.0005,0.79479,0.79818,0.79479,0.41442
linear,2,2,absolute,False,False,3e-05,0.95715,0.95078,0.95715,0.42138
linear,1,2,rope,True,False,0.0001,0.99872,0.99364,0.99872,0.42768
linear,1,2,absolute,True,True,0.0001,0.7967,0.79814,0.7967,0.43469
linear,1,2,rope,False,False,3e-05,0.7435,0.74385,0.7435,0.43557
