Dataset_Setting,Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
HMM_V3_O1,linear,2,2,absolute,True,True,3e-05,1.23232,1.23377,1.23232,0.43896
HMM_V3_O1,linear,1,1,absolute,False,True,3e-05,1.49264,1.48709,1.49264,0.43935
HMM_V3_O1,linear,1,2,rope,False,False,0.0005,1.179,1.17528,1.179,0.44648
HMM_V3_O1,linear,2,1,absolute,False,False,0.0005,1.37678,1.36798,1.37678,0.45794
HMM_V3_O1,linear,2,2,rope,True,True,3e-05,1.32958,1.32484,1.32958,0.46374
HMM_V3_O1,linear,2,2,absolute,False,False,0.0005,1.5633,1.54571,1.5633,0.51509
HMM_V3_O1,linear,2,2,absolute,False,False,0.0001,1.55086,1.51988,1.55086,0.521
HMM_V3_O1,linear,1,1,absolute,False,False,3e-05,1.44536,1.48032,1.44536,0.52334
HMM_V3_O1,linear,1,1,absolute,True,False,3e-05,1.16732,1.16627,1.16731,0.52846
HMM_V3_O1,linear,1,2,rope,True,False,0.0005,1.48997,1.48259,1.48997,0.55874
HMM_V3_O1,linear,2,1,absolute,False,True,0.0005,1.32029,1.32832,1.32029,0.56341
HMM_V3_O1,linear,2,2,rope,False,True,0.0001,1.37241,1.3695,1.37241,0.59365
HMM_V3_O1,linear,2,1,rope,False,True,0.0005,1.6504,1.64195,1.6504,0.59821
HMM_V3_O1,linear,1,2,rope,False,False,0.0001,1.49467,1.48023,1.49467,0.61468
HMM_V3_O1,linear,2,1,absolute,False,True,0.0001,1.65096,1.66718,1.65096,0.64077
HMM_V3_O1,linear,1,1,rope,True,True,0.0005,1.44857,1.44996,1.44857,0.6459
HMM_V3_O1,linear,2,1,rope,False,False,3e-05,1.27037,1.26501,1.27037,0.65879
HMM_V3_O1,linear,1,1,absolute,False,False,0.0001,1.54067,1.53942,1.54067,0.76635
HMM_V3_O1,linear,1,2,absolute,False,False,3e-05,1.70224,1.69079,1.70224,0.80501
HMM_V3_O1,linear,1,2,rope,True,True,0.0001,1.77379,1.7643,1.77379,0.84168
HMM_V3_O1,linear,1,1,rope,True,True,0.0001,1.65424,1.66668,1.65424,0.853
HMM_V3_O1,linear,2,2,rope,True,False,0.0001,1.97484,1.96212,1.97484,0.95864
HMM_V3_O1,linear,1,1,rope,False,True,3e-05,1.7428,1.72281,1.7428,0.96065
HMM_V3_O1,linear,2,1,rope,True,False,3e-05,1.70715,1.70284,1.70715,0.96342
HMM_V3_O1,linear,1,1,rope,True,False,0.0005,1.87456,1.88484,1.87456,1.02414
HMM_V3_O1,linear,2,2,absolute,True,True,0.0005,1.99455,2.02175,1.99455,1.04271
HMM_V3_O1,linear,1,2,rope,False,False,3e-05,1.86255,1.87087,1.86255,1.0927
HMM_V3_O1,linear,2,1,absolute,True,True,0.0005,2.15509,2.16037,2.15509,1.16099
HMM_V3_O1,linear,2,1,rope,False,False,0.0005,1.91549,1.91606,1.91549,1.25271
HMM_V3_O1,linear,1,1,absolute,True,True,3e-05,2.10946,2.11312,2.10946,1.31371
HMM_V3_O1,linear,1,1,absolute,True,True,0.0001,2.29432,2.29711,2.29432,1.37781
HMM_V3_O1,linear,1,2,rope,False,True,0.0005,2.00739,1.98988,2.00739,1.4425
HMM_V3_O1,linear,1,2,absolute,False,False,0.0005,3.79639,3.85505,3.79639,2.98595
HMM_V3_O1,performer,2,1,rope,False,True,0.0005,1.08016,1.07375,1.08016,0.01968
HMM_V3_O1,performer,2,2,rope,False,True,0.0005,1.0956,1.09644,1.0956,0.02071
HMM_V3_O1,performer,2,1,absolute,False,False,0.0005,1.10964,1.1109,1.10964,0.02472
HMM_V3_O1,performer,2,1,absolute,False,False,0.0001,1.11326,1.1138,1.11326,0.02776
HMM_V3_O1,performer,2,1,absolute,True,True,0.0005,0.85609,0.85218,0.85609,0.03611
HMM_V3_O1,performer,1,2,rope,True,False,3e-05,1.02269,1.01974,1.02269,0.04452
HMM_V3_O1,performer,1,2,rope,True,True,0.0001,1.02607,1.03135,1.02607,0.05571
HMM_V3_O1,performer,1,1,absolute,False,True,0.0001,1.10481,1.10181,1.10481,0.05854
HMM_V3_O1,performer,1,1,absolute,True,True,0.0005,0.98125,0.98691,0.98125,0.06072
HMM_V3_O1,performer,2,2,absolute,False,False,3e-05,0.97162,0.9746,0.97162,0.06877
HMM_V3_O1,performer,2,2,rope,False,False,3e-05,1.06986,1.06913,1.06986,0.07351
HMM_V3_O1,performer,2,1,absolute,True,True,3e-05,1.10958,1.11746,1.10958,0.0754
HMM_V3_O1,performer,1,2,rope,True,True,3e-05,0.96216,0.96818,0.96216,0.08376
HMM_V3_O1,performer,2,1,rope,False,True,3e-05,0.9894,0.97301,0.9894,0.08715
HMM_V3_O1,performer,2,2,absolute,True,False,0.0005,1.01105,1.01118,1.01105,0.10129
HMM_V3_O1,performer,1,1,absolute,True,False,3e-05,0.9446,0.94508,0.9446,0.10277
