Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
linear,2,2,absolute,True,False,0.0005,0.57569,0.5806,0.57569,0.11112
linear,2,1,absolute,True,False,0.0005,0.58256,0.58532,0.58256,0.1138
linear,2,2,absolute,False,True,0.0005,0.58943,0.59091,0.58943,0.11614
linear,2,2,absolute,False,False,0.0005,0.56964,0.58307,0.56964,0.11934
linear,2,2,rope,True,True,0.0005,0.5968,0.59076,0.5968,0.11944
linear,2,2,rope,True,False,0.0005,0.59469,0.59332,0.59469,0.12143
linear,2,1,rope,True,False,0.0005,0.5962,0.58949,0.5962,0.12256
linear,2,2,rope,False,False,0.0005,0.59427,0.59258,0.59427,0.12547
linear,2,1,absolute,False,False,0.0005,0.58411,0.59774,0.58411,0.12646
linear,2,2,absolute,True,True,0.0005,0.59999,0.59708,0.59999,0.12673
linear,2,2,rope,True,False,0.0001,0.60272,0.59852,0.60272,0.12696
linear,2,2,rope,False,True,0.0005,0.6086,0.60435,0.6086,0.12735
linear,2,1,absolute,True,True,0.0001,0.6065,0.6006,0.6065,0.12795
linear,2,2,rope,True,True,0.0001,0.59848,0.59509,0.59848,0.12807
linear,1,1,absolute,True,False,3e-05,0.60985,0.60429,0.60985,0.1285
linear,1,2,rope,True,False,0.0001,0.59955,0.60172,0.59955,0.12887
linear,1,1,absolute,True,False,0.0001,0.61045,0.60537,0.61045,0.12889
linear,2,1,absolute,True,False,0.0001,0.60365,0.60237,0.60365,0.12908
linear,1,1,absolute,True,True,0.0001,0.60559,0.59882,0.60559,0.12914
linear,1,1,rope,True,False,0.0005,0.60239,0.602,0.60239,0.12943
linear,1,1,absolute,True,True,0.0005,0.60101,0.60462,0.60101,0.12957
linear,2,1,rope,True,True,0.0005,0.59911,0.59872,0.59911,0.12989
linear,1,2,absolute,True,True,3e-05,0.59726,0.60015,0.59726,0.1305
linear,1,2,absolute,False,True,0.0005,0.60849,0.60155,0.60849,0.1306
linear,1,1,absolute,False,False,0.0005,0.59881,0.59913,0.59881,0.13089
linear,1,1,rope,True,True,0.0005,0.60602,0.59964,0.60602,0.13111
linear,1,1,absolute,False,True,0.0005,0.6005,0.59974,0.6005,0.13127
linear,2,1,rope,False,False,0.0005,0.58756,0.59583,0.58756,0.13128
linear,1,2,absolute,False,False,0.0005,0.59379,0.59885,0.59379,0.13188
linear,2,2,absolute,True,False,0.0001,0.61264,0.60373,0.61264,0.13215
linear,1,2,absolute,True,False,0.0005,0.60295,0.59833,0.60295,0.13252
linear,2,1,absolute,True,True,0.0005,0.6052,0.60366,0.6052,0.13252
linear,1,2,absolute,True,True,0.0005,0.5936,0.59912,0.5936,0.1328
linear,1,2,rope,True,True,0.0005,0.60273,0.60524,0.60273,0.1328
linear,1,2,rope,True,True,0.0001,0.60476,0.60407,0.60476,0.13281
linear,1,2,absolute,True,False,0.0001,0.60355,0.60463,0.60355,0.13298
linear,2,1,rope,True,True,0.0001,0.6007,0.6046,0.6007,0.1331
linear,2,1,rope,True,False,0.0001,0.60884,0.60822,0.60884,0.1332
linear,1,2,rope,True,False,0.0005,0.59608,0.59954,0.59608,0.13321
linear,1,1,absolute,True,True,3e-05,0.60541,0.60598,0.60541,0.13387
linear,2,2,absolute,True,True,0.0001,0.60784,0.59901,0.60784,0.13389
linear,1,2,rope,True,False,3e-05,0.60865,0.60756,0.60865,0.13426
