Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
linear,1,2,absolute,True,True,0.0001,1.04519,1.05144,1.04519,0.22901
linear,2,1,absolute,True,True,0.0001,1.04635,1.05018,1.04635,0.23005
linear,2,1,absolute,False,False,0.0005,1.05191,1.05303,1.05191,0.23084
linear,2,2,rope,True,True,0.0005,1.04655,1.05071,1.04655,0.23117
linear,2,1,absolute,True,False,0.0005,1.05022,1.05209,1.05022,0.23136
linear,2,2,absolute,True,False,0.0001,1.05503,1.05762,1.05503,0.23233
linear,1,2,absolute,True,False,0.0005,1.057,1.0562,1.057,0.23241
linear,2,2,rope,True,False,0.0005,1.05922,1.05435,1.05922,0.23306
linear,1,1,absolute,True,True,0.0005,1.05451,1.05603,1.05451,0.23359
linear,1,1,rope,True,True,0.0001,1.05583,1.05419,1.05583,0.23374
linear,1,2,rope,True,True,0.0001,1.06237,1.05728,1.06237,0.23384
linear,2,2,rope,True,True,3e-05,1.05872,1.05698,1.05872,0.23392
linear,2,2,rope,False,False,0.0005,1.06017,1.05587,1.06017,0.23484
linear,2,2,absolute,False,False,0.0005,1.05044,1.05322,1.05044,0.23485
linear,2,1,rope,False,True,0.0005,1.07141,1.06223,1.07141,0.23488
linear,1,2,absolute,False,True,0.0005,1.0642,1.06159,1.0642,0.23522
linear,1,1,absolute,True,True,0.0001,1.05518,1.06027,1.05518,0.23542
linear,2,1,absolute,True,False,3e-05,1.06171,1.05689,1.06171,0.23569
linear,2,2,absolute,True,False,0.0005,1.04043,1.04934,1.04043,0.23572
linear,2,1,absolute,True,False,0.0001,1.05078,1.05164,1.05078,0.23597
linear,2,2,absolute,True,True,0.0005,1.05034,1.05212,1.05034,0.23605
linear,2,2,absolute,True,True,3e-05,1.05771,1.057,1.05771,0.23616
linear,2,2,absolute,True,False,3e-05,1.05408,1.05626,1.05408,0.23623
linear,1,1,absolute,False,True,0.0001,1.05394,1.05434,1.05394,0.23633
linear,1,2,absolute,False,False,3e-05,1.05853,1.05773,1.05853,0.23637
linear,1,2,absolute,True,True,0.0005,1.05494,1.05804,1.05494,0.23652
linear,2,1,rope,True,False,3e-05,1.05617,1.05626,1.05617,0.2366
linear,2,1,rope,True,True,0.0001,1.05718,1.05923,1.05718,0.23664
linear,2,2,rope,True,False,0.0001,1.0498,1.05449,1.0498,0.23665
linear,2,2,absolute,False,True,0.0005,1.06201,1.05625,1.06201,0.23672
linear,2,2,rope,True,True,0.0001,1.05372,1.05864,1.05372,0.23688
linear,1,1,absolute,True,False,0.0005,1.0554,1.04939,1.0554,0.23692
linear,1,1,rope,True,True,0.0005,1.05267,1.05646,1.05267,0.23696
linear,1,2,absolute,True,False,0.0001,1.05606,1.05147,1.05606,0.23703
linear,2,1,rope,True,True,0.0005,1.05497,1.05396,1.05497,0.23726
linear,1,2,rope,False,False,0.0005,1.05882,1.05586,1.05882,0.23736
linear,1,1,rope,True,False,0.0005,1.06848,1.05597,1.06848,0.2375
linear,2,2,absolute,True,True,0.0001,1.04784,1.05112,1.04784,0.23752
linear,1,2,rope,False,False,0.0001,1.05538,1.05948,1.05538,0.23759
linear,2,1,absolute,False,False,0.0001,1.05711,1.05694,1.05711,0.23762
linear,1,1,absolute,False,False,0.0005,1.06214,1.05659,1.06214,0.23779
linear,2,1,absolute,True,True,0.0005,1.05355,1.05545,1.05355,0.23822
linear,1,1,absolute,True,True,3e-05,1.05945,1.0579,1.05945,0.23827
linear,1,1,rope,True,False,3e-05,1.05921,1.05692,1.05921,0.2385
linear,1,2,rope,True,False,0.0001,1.05322,1.05872,1.05322,0.23852
linear,2,1,rope,True,False,0.0005,1.05894,1.05707,1.05894,0.23866
linear,2,1,rope,True,False,0.0001,1.06175,1.05574,1.06175,0.23874
linear,1,1,absolute,False,True,3e-05,1.05781,1.05804,1.05781,0.23877
linear,1,2,absolute,False,True,0.0001,1.06489,1.06108,1.06489,0.23895
linear,1,1,absolute,True,False,3e-05,1.05239,1.0581,1.05239,0.23898
linear,2,2,rope,True,False,3e-05,1.06149,1.05913,1.06149,0.239
linear,2,1,rope,False,False,0.0005,1.05674,1.05602,1.05674,0.2392
linear,1,2,rope,True,True,0.0005,1.06352,1.05868,1.06352,0.23926
linear,1,1,absolute,False,False,3e-05,1.05879,1.05498,1.05879,0.23928
linear,1,2,rope,True,False,0.0005,1.06108,1.05742,1.06108,0.23929
linear,1,1,rope,False,False,0.0005,1.06033,1.05966,1.06033,0.23972
linear,1,1,rope,True,False,0.0001,1.05557,1.05821,1.05557,0.23994
linear,2,1,absolute,False,True,0.0005,1.05385,1.05762,1.05385,0.23996
linear,1,1,rope,False,False,0.0001,1.0594,1.06157,1.0594,0.23996
linear,1,1,absolute,True,False,0.0001,1.06034,1.05878,1.06034,0.2401
linear,1,2,absolute,True,False,3e-05,1.05473,1.0533,1.05473,0.24046
linear,2,1,rope,False,True,0.0001,1.06911,1.06723,1.06911,0.24056
linear,1,2,rope,True,True,3e-05,1.0619,1.06126,1.0619,0.24058
linear,1,1,absolute,False,True,0.0005,1.06435,1.06238,1.06435,0.24061
linear,2,1,absolute,True,True,3e-05,1.05701,1.05971,1.05701,0.24084
linear,2,1,rope,True,True,3e-05,1.05814,1.05846,1.05814,0.24087
linear,1,2,rope,False,True,0.0001,1.0601,1.06155,1.0601,0.24102
linear,2,1,rope,False,False,0.0001,1.06344,1.066,1.06344,0.24105
linear,2,2,rope,False,True,0.0001,1.05733,1.06113,1.05733,0.24109
linear,2,2,absolute,False,False,0.0001,1.05862,1.05811,1.05862,0.24114
linear,1,2,absolute,False,False,0.0005,1.05379,1.0581,1.05379,0.24121
linear,2,1,absolute,False,True,0.0001,1.0602,1.06264,1.0602,0.24145
linear,1,2,rope,False,True,3e-05,1.06614,1.06099,1.06614,0.24152
linear,1,1,rope,True,True,3e-05,1.06625,1.06065,1.06625,0.24175
linear,1,2,rope,False,True,0.0005,1.05344,1.05757,1.05344,0.24201
linear,1,2,rope,True,False,3e-05,1.05804,1.05991,1.05804,0.24226
linear,1,1,absolute,False,False,0.0001,1.06005,1.05984,1.06005,0.24227
linear,2,2,rope,False,True,0.0005,1.06722,1.06106,1.06722,0.24229
linear,1,2,absolute,False,False,0.0001,1.05445,1.05743,1.05445,0.24284
linear,2,2,absolute,False,True,0.0001,1.06276,1.05693,1.06276,0.24284
linear,2,2,rope,False,False,0.0001,1.06228,1.06031,1.06228,0.24291
linear,1,2,absolute,False,True,3e-05,1.06353,1.06023,1.06353,0.24297
linear,1,2,absolute,True,True,3e-05,1.06043,1.05992,1.06043,0.24342
linear,1,1,rope,False,True,0.0005,1.05912,1.06133,1.05912,0.24365
linear,2,1,rope,False,False,3e-05,1.06655,1.0652,1.06655,0.24385
linear,1,1,rope,False,True,3e-05,1.0647,1.06342,1.0647,0.2447
linear,1,1,rope,False,False,3e-05,1.06321,1.06325,1.06321,0.24474
linear,2,1,absolute,False,False,3e-05,1.06388,1.06668,1.06388,0.245
linear,1,2,rope,False,False,3e-05,1.05804,1.0613,1.05804,0.24504
linear,2,1,absolute,False,True,3e-05,1.06657,1.06502,1.06657,0.24574
linear,2,2,rope,False,False,3e-05,1.07197,1.06988,1.07197,0.24578
linear,2,2,absolute,False,False,3e-05,1.0645,1.06232,1.0645,0.24694
linear,1,1,rope,False,True,0.0001,1.06568,1.0642,1.06568,0.24786
linear,2,2,absolute,False,True,3e-05,1.07012,1.06712,1.07012,0.24851
linear,2,2,rope,False,True,3e-05,1.06618,1.06822,1.06618,0.24898
linear,2,1,rope,False,True,3e-05,1.0664,1.06904,1.0664,0.24949
performer,2,1,rope,True,False,0.0005,1.02217,1.02125,1.02217,0.2057
performer,2,2,absolute,True,False,0.0005,1.03764,1.03566,1.03764,0.21656
performer,2,1,absolute,True,False,0.0005,1.03345,1.03364,1.03345,0.2173
performer,2,1,absolute,True,True,0.0005,1.02879,1.03325,1.02879,0.21783
performer,2,2,absolute,True,True,0.0005,1.04992,1.04931,1.04992,0.22485
performer,2,1,absolute,False,True,0.0005,1.05398,1.05063,1.05398,0.22677
performer,2,1,rope,True,True,0.0005,1.0453,1.04714,1.0453,0.22844
performer,2,2,rope,True,False,0.0005,1.05221,1.05141,1.05221,0.22923
performer,2,2,rope,True,True,0.0005,1.04418,1.04781,1.04418,0.23079
performer,1,1,absolute,False,False,0.0001,1.0491,1.05056,1.0491,0.23087
performer,2,2,rope,False,False,0.0001,1.04925,1.05469,1.04925,0.23121
performer,1,1,rope,True,True,0.0005,1.05571,1.0568,1.05571,0.23148
performer,2,1,rope,True,False,3e-05,1.05669,1.05757,1.05669,0.23245
performer,2,2,absolute,True,False,3e-05,1.05976,1.05689,1.05976,0.23249
performer,1,2,absolute,True,True,0.0001,1.04901,1.05101,1.04901,0.23314
performer,2,1,rope,True,True,0.0001,1.05572,1.055,1.05572,0.2339
performer,1,2,absolute,True,True,3e-05,1.06105,1.0601,1.06105,0.23391
performer,2,1,absolute,True,False,0.0001,1.04838,1.05516,1.04838,0.23408
performer,1,2,absolute,True,False,0.0005,1.05572,1.0544,1.05572,0.23452
performer,2,2,absolute,True,True,3e-05,1.0564,1.05558,1.0564,0.23452
performer,2,2,rope,False,False,0.0005,1.05959,1.05523,1.05959,0.23462
performer,1,1,rope,False,False,0.0005,1.05393,1.0578,1.05393,0.23462
performer,1,1,absolute,False,False,3e-05,1.05849,1.05978,1.05849,0.23476
performer,1,2,absolute,False,False,0.0005,1.05284,1.05477,1.05284,0.23477
performer,1,1,absolute,True,True,0.0005,1.05975,1.05467,1.05975,0.23481
performer,1,2,rope,False,True,0.0005,1.05999,1.05723,1.05999,0.23491
performer,2,2,absolute,False,True,0.0005,1.04884,1.05406,1.04884,0.23498
performer,2,2,absolute,False,False,0.0005,1.04891,1.05143,1.04891,0.23502
performer,2,2,rope,True,False,0.0001,1.0595,1.05739,1.0595,0.23502
performer,1,1,absolute,True,False,3e-05,1.0584,1.05757,1.0584,0.23509
performer,1,2,rope,False,False,0.0005,1.05523,1.05856,1.05523,0.23515
performer,2,2,absolute,True,False,0.0001,1.06432,1.05411,1.06432,0.23525
performer,1,1,rope,True,False,0.0005,1.05421,1.0538,1.05421,0.23531
performer,1,1,rope,True,True,0.0001,1.05526,1.05514,1.05526,0.23534
performer,2,1,absolute,True,True,0.0001,1.05304,1.0555,1.05304,0.23535
performer,2,2,rope,True,True,0.0001,1.0547,1.05072,1.0547,0.23544
performer,1,2,rope,True,False,0.0005,1.05249,1.05174,1.05249,0.23545
performer,1,2,absolute,True,False,0.0001,1.05619,1.05264,1.05619,0.23568
performer,2,1,rope,True,True,3e-05,1.06355,1.05842,1.06355,0.23584
performer,1,2,absolute,False,True,0.0005,1.0537,1.05314,1.0537,0.23584
performer,1,1,absolute,True,False,0.0005,1.0557,1.05147,1.0557,0.23622
performer,1,2,rope,True,False,0.0001,1.05881,1.05626,1.05881,0.23623
performer,1,1,rope,True,False,3e-05,1.06012,1.05719,1.06012,0.23631
performer,2,1,rope,True,False,0.0001,1.05926,1.05626,1.05926,0.23647
performer,2,2,rope,True,True,3e-05,1.05363,1.0578,1.05363,0.2365
performer,1,2,absolute,True,False,3e-05,1.05712,1.05678,1.05712,0.23651
performer,1,1,rope,True,True,3e-05,1.05673,1.05713,1.05673,0.23654
performer,1,2,rope,True,True,0.0005,1.05497,1.05886,1.05497,0.23665
performer,2,2,absolute,False,False,0.0001,1.0553,1.05505,1.0553,0.23668
performer,2,2,absolute,True,True,0.0001,1.05949,1.05546,1.05949,0.23673
performer,1,1,absolute,False,True,3e-05,1.06123,1.05898,1.06123,0.23701
performer,2,2,rope,True,False,3e-05,1.05702,1.05756,1.05702,0.23713
performer,1,1,rope,False,False,3e-05,1.06553,1.06225,1.06553,0.23797
performer,2,2,absolute,False,True,3e-05,1.06262,1.06531,1.06262,0.23833
performer,1,1,absolute,True,True,3e-05,1.05822,1.05697,1.05822,0.23845
performer,1,2,rope,True,False,3e-05,1.05764,1.05714,1.05764,0.23849
performer,1,2,absolute,True,True,0.0005,1.05443,1.05221,1.05443,0.23855
performer,1,1,absolute,True,False,0.0001,1.05486,1.0537,1.05486,0.23883
performer,2,1,absolute,True,False,3e-05,1.05768,1.05696,1.05768,0.2389
performer,1,2,rope,True,True,0.0001,1.05995,1.05676,1.05995,0.23901
performer,1,1,rope,True,False,0.0001,1.05898,1.05716,1.05898,0.23915
performer,1,2,rope,False,False,0.0001,1.04917,1.05585,1.04917,0.23943
performer,1,1,absolute,True,True,0.0001,1.05291,1.05539,1.05291,0.2399
performer,1,2,absolute,False,True,0.0001,1.05181,1.05894,1.05181,0.23996
performer,2,1,rope,False,False,0.0005,1.05816,1.06052,1.05816,0.24
performer,1,1,rope,False,True,0.0001,1.06319,1.06338,1.06319,0.24
performer,1,1,absolute,False,False,0.0005,1.06214,1.06094,1.06214,0.2401
performer,2,2,rope,False,True,0.0005,1.05821,1.06011,1.05821,0.24015
performer,2,1,absolute,False,True,0.0001,1.05646,1.05707,1.05646,0.24029
performer,2,1,absolute,False,False,0.0005,1.06264,1.05688,1.06264,0.24057
performer,2,2,rope,False,True,0.0001,1.06204,1.05792,1.06204,0.24062
performer,1,1,rope,False,False,0.0001,1.05875,1.05981,1.05875,0.24072
performer,1,1,rope,False,True,0.0005,1.05853,1.06016,1.05853,0.24085
performer,1,2,absolute,False,False,3e-05,1.05975,1.0593,1.05975,0.24102
performer,1,2,rope,False,True,0.0001,1.06211,1.06187,1.06211,0.24115
performer,1,1,absolute,False,True,0.0005,1.05836,1.05895,1.05836,0.24122
performer,1,1,rope,False,True,3e-05,1.05834,1.0599,1.05834,0.24134
performer,2,1,rope,False,True,0.0005,1.05933,1.06275,1.05933,0.2415
performer,1,2,rope,True,True,3e-05,1.0653,1.0594,1.0653,0.24156
performer,1,2,rope,False,False,3e-05,1.06198,1.05958,1.06198,0.24168
performer,2,1,rope,False,True,0.0001,1.0644,1.06328,1.0644,0.24204
performer,2,1,absolute,False,False,0.0001,1.05508,1.05707,1.05508,0.24227
performer,2,1,rope,False,False,0.0001,1.06523,1.06482,1.06523,0.24243
performer,1,2,rope,False,True,3e-05,1.06875,1.06497,1.06875,0.24318
performer,2,1,absolute,True,True,3e-05,1.05694,1.05396,1.05694,0.24341
performer,1,2,absolute,False,False,0.0001,1.05986,1.05657,1.05986,0.24394
performer,2,1,absolute,False,False,3e-05,1.06038,1.06362,1.06038,0.24403
performer,2,1,absolute,False,True,3e-05,1.066,1.06301,1.066,0.24429
performer,2,1,rope,False,True,3e-05,1.06233,1.06477,1.06233,0.24473
performer,2,2,absolute,False,False,3e-05,1.05458,1.06152,1.05458,0.24476
performer,1,2,absolute,False,True,3e-05,1.05507,1.05974,1.05507,0.24478
performer,2,2,rope,False,False,3e-05,1.06302,1.06343,1.06302,0.24537
performer,2,1,rope,False,False,3e-05,1.06389,1.06828,1.06389,0.2457
performer,2,2,absolute,False,True,0.0001,1.06672,1.06188,1.06672,0.2459
performer,1,1,absolute,False,True,0.0001,1.06651,1.05882,1.06651,0.24646
performer,2,2,rope,False,True,3e-05,1.06304,1.06801,1.06304,0.24974
standard,2,2,rpe,True,True,0.0005,0.9081,0.89977,0.9081,0.08379
standard,2,2,rpe,True,False,0.0005,0.90421,0.90042,0.90421,0.08428
standard,2,1,rpe,True,False,0.0005,0.91594,0.91592,0.91594,0.10318
standard,2,1,rpe,True,True,0.0005,0.93431,0.94509,0.93431,0.12735
standard,2,2,rope,False,False,0.0005,1.01017,1.0085,1.01017,0.19238
standard,2,2,rope,True,True,0.0005,1.02251,1.02069,1.02251,0.19776
standard,2,2,rope,True,False,0.0005,1.03688,1.02916,1.03688,0.20307
