Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
linear,2,2,absolute,True,True,0.0005,0.93097,0.93093,0.93097,0.11208
linear,2,2,absolute,False,True,0.0005,0.93985,0.9369,0.93985,0.11296
linear,2,2,rope,True,True,0.0005,0.94481,0.95382,0.94481,0.13546
linear,2,1,absolute,True,False,0.0005,0.9584,0.95761,0.9584,0.13885
linear,2,2,rope,True,False,0.0005,0.96634,0.96438,0.96634,0.1426
linear,2,2,absolute,True,False,0.0005,0.96998,0.9657,0.96998,0.14526
linear,2,2,absolute,False,False,0.0005,0.96364,0.96739,0.96364,0.14836
linear,2,1,rope,True,False,0.0005,0.97299,0.97456,0.97299,0.14952
linear,2,1,absolute,True,True,0.0005,0.97684,0.97441,0.97684,0.15257
linear,2,1,rope,True,True,0.0005,0.98009,0.97588,0.98009,0.15364
linear,1,1,rope,True,False,0.0005,0.97701,0.96667,0.97701,0.1542
linear,1,2,absolute,True,False,0.0005,0.96426,0.97297,0.96426,0.15484
linear,1,2,absolute,True,True,0.0005,0.9742,0.97259,0.9742,0.15493
linear,1,2,absolute,False,True,0.0005,0.96974,0.97318,0.96974,0.15635
linear,1,2,absolute,True,False,0.0001,0.96581,0.97389,0.96581,0.15712
linear,1,1,absolute,True,False,0.0005,0.97334,0.97779,0.97334,0.15727
linear,1,2,absolute,True,True,0.0001,0.9681,0.97295,0.9681,0.15762
linear,2,2,rope,False,True,0.0005,0.98195,0.98255,0.98195,0.15828
linear,1,2,absolute,False,False,0.0005,0.9725,0.97536,0.9725,0.15832
linear,1,2,rope,True,True,0.0005,0.97539,0.9778,0.97539,0.15887
linear,1,2,rope,True,False,0.0005,0.99041,0.97964,0.99041,0.15912
linear,2,2,rope,True,False,0.0001,0.96649,0.97323,0.96649,0.15916
linear,2,2,absolute,True,True,0.0001,0.97009,0.97604,0.97009,0.15917
linear,1,1,absolute,True,True,0.0001,0.97462,0.97729,0.97462,0.15938
linear,2,2,rope,False,False,0.0005,0.98413,0.98274,0.98413,0.15955
linear,2,2,absolute,True,True,3e-05,0.98844,0.98069,0.98844,0.15963
linear,1,1,rope,True,True,0.0001,0.98964,0.98548,0.98964,0.15977
linear,2,2,rope,True,True,0.0001,0.98957,0.97933,0.98957,0.16018
linear,1,1,rope,True,True,0.0005,0.98488,0.97853,0.98488,0.16039
linear,1,2,rope,True,False,3e-05,0.97683,0.98097,0.97683,0.16054
linear,1,2,rope,False,False,0.0005,0.97738,0.97823,0.97738,0.16058
