Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
linear,1,1,rope,False,False,0.0001,0.56309,0.56727,0.56309,0.08657
linear,1,2,absolute,False,True,3e-05,0.57442,0.56582,0.57442,0.08722
linear,1,2,absolute,False,False,3e-05,0.57269,0.56934,0.57269,0.08724
linear,1,2,rope,False,False,0.0001,0.56286,0.56454,0.56286,0.088
linear,1,1,rope,False,True,3e-05,0.54998,0.56752,0.54998,0.08825
linear,1,2,rope,False,False,3e-05,0.56705,0.5688,0.56705,0.08863
linear,2,1,absolute,False,False,0.0001,0.5762,0.57164,0.5762,0.08934
linear,1,2,rope,False,True,3e-05,0.56316,0.56761,0.56316,0.09023
linear,2,1,rope,False,False,3e-05,0.57768,0.57767,0.57768,0.0914
linear,2,1,absolute,False,True,0.0001,0.58554,0.58121,0.58554,0.0942
linear,2,1,absolute,False,False,3e-05,0.57181,0.57702,0.57181,0.09506
linear,2,1,absolute,False,True,3e-05,0.58169,0.57944,0.58169,0.0952
linear,2,2,absolute,False,False,3e-05,0.5804,0.57684,0.5804,0.09574
linear,2,2,rope,False,True,3e-05,0.5704,0.57334,0.5704,0.09677
linear,2,2,rope,False,False,3e-05,0.58028,0.58183,0.58028,0.10086
linear,2,2,absolute,False,True,3e-05,0.58422,0.58144,0.58422,0.10147
linear,2,1,rope,False,True,3e-05,0.58593,0.57998,0.58593,0.10329
performer,2,1,absolute,True,False,0.0005,0.5124,0.4979,0.5124,0.0188
performer,2,2,absolute,True,False,0.0005,0.5035,0.50105,0.5035,0.02009
performer,2,2,absolute,True,True,0.0005,0.49853,0.50376,0.49853,0.02284
performer,2,2,absolute,False,False,0.0005,0.51645,0.50359,0.51645,0.02554
performer,2,2,rope,True,False,0.0005,0.4898,0.50485,0.4898,0.02591
performer,2,2,rope,True,True,0.0005,0.50506,0.50422,0.50506,0.02628
performer,2,2,absolute,False,True,0.0005,0.50659,0.51247,0.50659,0.02749
performer,2,1,absolute,True,True,0.0005,0.50735,0.51257,0.50735,0.02838
performer,2,1,rope,True,False,0.0005,0.52137,0.52349,0.52137,0.03953
performer,2,1,rope,True,True,0.0005,0.51772,0.51865,0.51772,0.04061
performer,2,1,absolute,False,True,0.0005,0.53716,0.52514,0.53716,0.04133
performer,2,2,rope,False,False,0.0005,0.52931,0.52819,0.52931,0.04266
performer,2,2,rope,False,True,0.0005,0.5248,0.52328,0.5248,0.04319
performer,2,2,absolute,True,True,0.0001,0.53353,0.52516,0.53353,0.04347
performer,2,2,absolute,False,True,0.0001,0.52928,0.52699,0.52928,0.04477
performer,2,1,absolute,True,False,0.0001,0.52457,0.53319,0.52457,0.05068
performer,2,1,rope,True,False,0.0001,0.54055,0.53723,0.54055,0.05195
performer,2,2,absolute,False,False,0.0001,0.5272,0.5309,0.5272,0.05302
performer,2,2,absolute,True,False,0.0001,0.53807,0.53184,0.53807,0.05306
performer,2,2,rope,True,True,0.0001,0.5354,0.53166,0.5354,0.05405
performer,2,1,absolute,False,False,0.0005,0.53608,0.53657,0.53608,0.0565
performer,2,2,rope,True,False,0.0001,0.54296,0.54133,0.54296,0.05681
performer,2,1,absolute,True,True,0.0001,0.53977,0.54355,0.53977,0.05952
performer,2,1,rope,True,True,0.0001,0.54226,0.54379,0.54226,0.06036
performer,2,2,rope,False,True,0.0001,0.54361,0.54019,0.54361,0.06218
performer,2,2,rope,False,False,0.0001,0.54974,0.54861,0.54974,0.06434
performer,1,2,absolute,False,False,0.0005,0.55697,0.55005,0.55697,0.0678
performer,2,1,rope,False,False,0.0005,0.55451,0.54889,0.55451,0.07029
performer,1,1,absolute,False,False,0.0005,0.55618,0.55393,0.55618,0.07059
performer,2,1,rope,True,True,3e-05,0.5493,0.54955,0.5493,0.07096
performer,1,2,absolute,True,False,0.0005,0.54789,0.55441,0.54789,0.07111
performer,2,1,rope,False,False,0.0001,0.55601,0.55043,0.55601,0.07172
performer,1,2,absolute,False,True,0.0005,0.56104,0.55471,0.56104,0.07173
performer,1,1,absolute,True,False,0.0005,0.55785,0.55897,0.55785,0.07253
performer,1,2,rope,True,True,0.0001,0.56676,0.55413,0.56676,0.07272
performer,1,2,absolute,False,False,0.0001,0.54521,0.5508,0.54521,0.07348
performer,2,2,absolute,True,True,3e-05,0.56712,0.56161,0.56712,0.07352
performer,1,1,rope,True,False,0.0001,0.55154,0.55161,0.55154,0.07354
performer,1,2,absolute,True,False,0.0001,0.547,0.55554,0.547,0.07359
performer,1,1,absolute,True,False,0.0001,0.55192,0.55431,0.55192,0.07361
performer,2,1,absolute,True,False,3e-05,0.5517,0.55619,0.5517,0.07371
performer,1,1,absolute,False,False,0.0001,0.55839,0.5562,0.55839,0.07403
performer,1,1,absolute,True,False,3e-05,0.56337,0.56039,0.56337,0.07413
performer,2,2,absolute,True,False,3e-05,0.55609,0.55424,0.55609,0.07416
performer,1,2,rope,True,False,0.0005,0.56302,0.55721,0.56302,0.0742
performer,1,2,absolute,False,True,0.0001,0.55245,0.55613,0.55245,0.07447
performer,2,1,absolute,True,True,3e-05,0.56561,0.55816,0.56561,0.07466
performer,1,2,rope,False,False,0.0005,0.55422,0.55817,0.55422,0.07472
performer,1,1,rope,True,False,0.0005,0.55567,0.55906,0.55567,0.07531
performer,1,1,rope,True,True,0.0001,0.56782,0.56054,0.56782,0.07554
performer,1,2,absolute,True,True,0.0005,0.55919,0.555,0.55919,0.07555
performer,1,2,rope,True,True,0.0005,0.56138,0.55741,0.56138,0.07574
performer,2,1,absolute,False,False,0.0001,0.55533,0.55936,0.55533,0.07576
performer,1,2,absolute,True,True,0.0001,0.56567,0.56112,0.56567,0.0761
performer,1,1,absolute,True,True,0.0001,0.55898,0.5598,0.55898,0.07655
performer,2,1,rope,False,True,0.0005,0.57357,0.5562,0.57357,0.0767
performer,1,1,absolute,False,True,0.0001,0.55233,0.55549,0.55233,0.07688
performer,1,1,absolute,False,True,0.0005,0.55773,0.55644,0.55773,0.07692
performer,2,2,rope,True,False,3e-05,0.56466,0.56205,0.56466,0.07709
performer,1,2,absolute,True,True,3e-05,0.56159,0.5641,0.56159,0.07725
performer,2,1,rope,True,False,3e-05,0.55837,0.56405,0.55837,0.07733
performer,1,1,absolute,True,True,0.0005,0.56381,0.55613,0.56381,0.07781
performer,1,1,rope,True,False,3e-05,0.56744,0.55987,0.56744,0.07814
performer,1,2,rope,True,False,3e-05,0.55743,0.5578,0.55743,0.0782
performer,1,1,rope,True,True,3e-05,0.57086,0.56239,0.57086,0.0784
performer,1,1,absolute,True,True,3e-05,0.56356,0.55904,0.56356,0.07856
performer,1,1,rope,True,True,0.0005,0.552,0.55477,0.552,0.07869
performer,1,1,rope,False,True,0.0005,0.55316,0.55958,0.55316,0.0787
performer,2,2,absolute,False,False,3e-05,0.56684,0.5576,0.56684,0.07889
performer,2,1,absolute,False,True,0.0001,0.56041,0.56064,0.56041,0.07955
performer,2,2,rope,True,True,3e-05,0.55297,0.55579,0.55297,0.07959
performer,1,2,absolute,True,False,3e-05,0.55015,0.55551,0.55015,0.07974
performer,1,2,rope,True,True,3e-05,0.55092,0.55929,0.55092,0.07975
performer,1,2,rope,False,True,0.0001,0.56632,0.56419,0.56632,0.08016
