Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
linear,1,1,absolute,True,False,0.0001,1.62711,1.63398,1.62711,0.78161
linear,1,2,absolute,True,False,0.0005,1.7372,1.74406,1.7372,0.7887
linear,1,2,rope,False,False,0.0001,1.60879,1.607,1.60879,0.81806
linear,2,1,rope,False,False,0.0001,1.78462,1.75803,1.78462,0.82656
linear,1,1,rope,False,False,0.0001,1.57986,1.57146,1.57986,0.82714
linear,1,2,rope,False,False,0.0005,1.60319,1.60746,1.60319,0.86807
linear,1,1,absolute,False,True,0.0005,1.58039,1.58881,1.58039,0.87078
linear,2,1,absolute,False,False,0.0005,1.73787,1.7506,1.73787,0.9282
linear,2,1,rope,True,False,0.0001,1.97359,1.95204,1.97359,0.95193
linear,1,2,absolute,False,True,0.0005,1.81345,1.79107,1.81345,0.96789
linear,1,1,absolute,False,True,3e-05,1.90819,1.89701,1.90819,0.97662
linear,1,2,rope,True,False,0.0001,1.7652,1.7931,1.7652,1.00702
linear,2,1,rope,True,True,0.0005,1.84994,1.87034,1.84994,1.05892
linear,2,2,absolute,True,True,0.0001,2.01569,2.01928,2.01569,1.08849
linear,2,1,absolute,False,False,0.0001,1.80817,1.841,1.80817,1.13176
linear,2,2,rope,False,True,0.0001,1.91193,1.89579,1.91193,1.13176
linear,2,1,rope,True,True,0.0001,2.0835,2.05539,2.0835,1.17745
linear,1,2,rope,True,True,0.0001,1.9689,1.95762,1.9689,1.20566
linear,2,2,absolute,False,False,0.0001,1.89732,1.91144,1.89732,1.21365
linear,1,1,absolute,False,False,0.0005,1.79437,1.81023,1.79437,1.23712
linear,2,2,rope,False,False,0.0005,2.29457,2.29976,2.29457,1.42962
linear,1,2,absolute,True,False,0.0001,1.98853,1.98686,1.98853,1.56214
linear,1,1,rope,False,False,0.0005,2.35567,2.35357,2.35567,1.59007
linear,1,2,absolute,True,True,3e-05,2.30618,2.29836,2.30618,1.66334
linear,1,1,absolute,True,False,0.0005,2.45185,2.46737,2.45185,1.68103
linear,2,2,absolute,False,True,0.0001,2.38548,2.3824,2.38548,1.73881
linear,2,2,absolute,False,True,0.0005,3.12946,3.09223,3.12946,2.30159
performer,2,1,rope,True,True,0.0001,0.77491,0.79476,0.77491,0.07862
performer,2,2,rope,False,True,3e-05,1.06934,1.05495,1.06934,0.08312
performer,1,2,absolute,True,False,0.0001,0.9324,0.91936,0.9324,0.08528
performer,2,1,absolute,False,False,0.0005,0.81002,0.7925,0.81002,0.08649
performer,2,2,rope,False,True,0.0005,0.93759,0.9454,0.93759,0.13874
performer,1,1,rope,False,True,3e-05,0.98345,0.99338,0.98345,0.18176
performer,2,1,absolute,False,True,0.0001,1.19632,1.1966,1.19632,0.18277
performer,1,2,rope,True,True,0.0001,0.92319,0.91051,0.92319,0.19004
performer,2,1,rope,False,True,3e-05,1.10866,1.10913,1.10866,0.21962
performer,2,1,absolute,False,True,3e-05,1.22033,1.23565,1.22033,0.24992
performer,1,2,absolute,False,True,0.0005,1.2241,1.19634,1.2241,0.26881
performer,2,2,rope,True,True,0.0001,1.24898,1.23459,1.24898,0.26989
performer,2,2,rope,False,False,3e-05,0.92351,0.91164,0.92351,0.31085
performer,2,2,absolute,False,False,3e-05,1.23895,1.24396,1.23895,0.32598
performer,1,1,rope,True,True,3e-05,1.17369,1.20243,1.17369,0.32679
performer,2,1,absolute,True,False,3e-05,0.95571,0.9653,0.95571,0.32863
performer,1,2,absolute,False,False,0.0005,1.0976,1.11364,1.0976,0.34049
performer,2,1,rope,True,False,0.0001,1.18186,1.17166,1.18186,0.35138
performer,1,1,rope,True,False,3e-05,1.20254,1.19373,1.20254,0.35252
performer,1,1,rope,False,True,0.0005,1.05631,1.0579,1.05631,0.36532
performer,2,2,rope,False,True,0.0001,1.04883,1.06705,1.04883,0.39147
performer,2,2,rope,False,False,0.0005,1.18156,1.15121,1.18156,0.39205
performer,2,2,rope,True,True,3e-05,1.01511,1.00906,1.01511,0.40308
performer,1,1,absolute,False,True,0.0005,1.32262,1.32825,1.32262,0.4192
