Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
linear,1,2,rope,False,False,3e-05,0.17946,0.17845,0.17946,0.0011
linear,2,1,rope,False,False,3e-05,0.03209,0.02997,0.03209,0.00558
linear,2,1,absolute,True,True,0.0001,0.17831,0.18812,0.17831,0.01115
linear,2,2,rope,False,True,3e-05,0.57495,0.579,0.57495,0.01566
linear,1,1,absolute,True,True,3e-05,0.56773,0.56175,0.56773,0.02276
linear,2,2,rope,False,False,0.0005,0.55196,0.55836,0.55196,0.02557
linear,2,2,absolute,True,True,3e-05,0.29757,0.31653,0.29757,0.02996
linear,2,1,rope,False,False,0.0001,0.72933,0.73094,0.72933,0.04267
linear,1,1,rope,False,True,0.0005,0.50315,0.51289,0.50315,0.04507
linear,2,1,absolute,False,False,0.0001,0.61151,0.60258,0.61151,0.04857
linear,2,2,absolute,False,False,0.0001,0.58974,0.59037,0.58974,0.05003
linear,1,2,rope,False,True,3e-05,0.5648,0.58306,0.5648,0.05146
linear,2,1,absolute,False,False,3e-05,0.49795,0.50054,0.49795,0.07071
linear,1,2,rope,False,True,0.0001,0.47812,0.46924,0.47812,0.07369
linear,1,1,rope,True,True,0.0005,0.5205,0.52718,0.5205,0.07627
linear,1,2,absolute,False,False,3e-05,0.63698,0.63513,0.63698,0.09125
linear,2,1,rope,False,True,0.0005,0.61334,0.60701,0.61334,0.10984
linear,1,2,absolute,True,True,3e-05,0.7384,0.739,0.7384,0.11868
linear,1,2,rope,True,False,0.0005,0.73157,0.72467,0.73157,0.11878
linear,2,2,rope,False,False,3e-05,0.70301,0.70565,0.70301,0.12703
linear,2,2,rope,True,False,0.0005,0.73824,0.73596,0.73824,0.1309
linear,2,1,rope,True,True,0.0005,0.28467,0.28191,0.28467,0.14125
linear,2,1,absolute,True,False,0.0001,0.67123,0.67151,0.67123,0.14766
linear,2,2,rope,False,False,0.0001,0.79102,0.79373,0.79102,0.15921
linear,2,2,rope,True,True,3e-05,0.8392,0.85201,0.8392,0.16842
linear,2,2,absolute,False,False,0.0005,0.48743,0.48805,0.48743,0.18463
linear,1,1,absolute,False,True,3e-05,0.90534,0.87769,0.90534,0.19234
