Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
linear,2,1,rope,False,True,0.0005,1.06906,1.06068,1.06906,0.18179
linear,2,1,absolute,True,False,3e-05,1.11246,1.10486,1.11246,0.20236
linear,1,2,absolute,False,True,0.0005,1.13398,1.1346,1.13398,0.20836
linear,2,1,rope,False,True,0.0001,1.07274,1.07544,1.07274,0.20913
linear,1,1,rope,True,True,3e-05,1.15965,1.15593,1.15965,0.21492
linear,2,2,absolute,False,True,0.0005,1.02409,1.01458,1.02409,0.21592
linear,2,2,absolute,True,True,3e-05,1.23088,1.20993,1.23088,0.2178
linear,1,2,rope,False,True,0.0005,1.00131,1.0049,1.00131,0.22129
linear,1,1,absolute,False,False,3e-05,1.10032,1.10429,1.10032,0.22319
linear,1,1,rope,False,False,0.0001,1.04607,1.04785,1.04607,0.2307
linear,2,1,absolute,False,False,3e-05,1.11125,1.11071,1.11125,0.23742
linear,1,2,rope,True,False,0.0001,1.17388,1.18326,1.17388,0.2375
linear,1,1,absolute,False,True,0.0001,1.15108,1.16005,1.15108,0.23899
linear,1,2,rope,True,True,0.0001,1.15094,1.15302,1.15094,0.23955
linear,2,2,absolute,False,False,0.0005,1.07658,1.06939,1.07658,0.2423
linear,2,2,rope,True,True,0.0005,1.07273,1.07725,1.07273,0.2485
linear,2,1,absolute,False,False,0.0001,1.16741,1.16982,1.16741,0.26129
linear,1,2,rope,False,True,0.0001,1.21901,1.21678,1.21901,0.26315
linear,1,2,absolute,False,True,0.0001,1.13166,1.13325,1.13165,0.26896
linear,1,2,absolute,False,False,0.0001,1.09442,1.09584,1.09442,0.27107
linear,2,1,rope,False,False,3e-05,1.13271,1.13116,1.13271,0.27132
linear,2,1,rope,False,False,0.0001,1.19949,1.18876,1.19949,0.28058
linear,1,1,absolute,False,False,0.0001,1.10373,1.10357,1.10373,0.28221
linear,2,2,rope,True,True,0.0001,1.1153,1.11118,1.1153,0.29154
linear,2,2,absolute,True,False,3e-05,1.21693,1.2146,1.21693,0.29413
linear,1,2,absolute,True,False,3e-05,1.1669,1.16292,1.1669,0.29467
linear,1,2,absolute,True,True,0.0001,1.18195,1.17626,1.18195,0.30211
linear,1,1,absolute,True,True,0.0005,1.17414,1.17766,1.17414,0.3022
linear,2,1,absolute,True,True,3e-05,1.18697,1.18664,1.18697,0.30234
linear,2,1,rope,False,True,3e-05,1.12164,1.12603,1.12164,0.30388
linear,1,1,rope,False,False,0.0005,1.19015,1.19021,1.19015,0.30727
linear,2,1,absolute,False,True,3e-05,1.10498,1.11068,1.10498,0.30928
linear,2,2,rope,True,False,0.0001,1.21305,1.20452,1.21305,0.31047
linear,2,2,absolute,True,True,0.0001,1.16907,1.16224,1.16907,0.32188
linear,1,1,rope,False,False,3e-05,1.14696,1.14604,1.14696,0.32252
linear,1,2,rope,True,True,3e-05,1.16812,1.17893,1.16812,0.32557
linear,2,2,rope,True,True,3e-05,1.13623,1.14523,1.13623,0.33091
linear,1,1,absolute,True,True,3e-05,1.28941,1.2947,1.28941,0.34221
linear,2,1,absolute,True,False,0.0001,1.13078,1.13077,1.13078,0.34435
linear,1,2,rope,True,True,0.0005,1.23583,1.23239,1.23583,0.34919
linear,2,2,absolute,True,True,0.0005,1.18198,1.18783,1.18198,0.34952
linear,1,2,absolute,True,True,0.0005,1.157,1.15133,1.157,0.3536
linear,1,1,absolute,True,False,3e-05,1.12559,1.12772,1.12559,0.36062
linear,1,2,absolute,False,False,0.0005,1.19544,1.19131,1.19544,0.3707
linear,2,2,absolute,False,False,3e-05,1.25696,1.25059,1.25696,0.3756
linear,1,2,absolute,False,False,3e-05,1.11088,1.11436,1.11088,0.38233
linear,2,2,absolute,False,True,0.0001,1.27669,1.27939,1.27669,0.38441
linear,2,2,absolute,False,False,0.0001,1.24809,1.24391,1.24809,0.38547
linear,1,1,absolute,False,True,0.0005,1.15588,1.15686,1.15588,0.38632
linear,2,1,absolute,True,True,0.0001,1.23613,1.23451,1.23613,0.39251
linear,1,1,absolute,True,False,0.0005,1.28746,1.29286,1.28746,0.39476
linear,2,1,rope,True,False,3e-05,1.27425,1.27515,1.27425,0.39574
linear,2,1,absolute,False,True,0.0005,1.15859,1.15751,1.15859,0.40121
linear,1,1,absolute,False,True,3e-05,1.18229,1.18183,1.18229,0.40358
linear,1,1,rope,False,True,3e-05,1.26491,1.26938,1.26491,0.41001
linear,2,1,rope,False,False,0.0005,1.2724,1.29373,1.2724,0.41026
linear,2,1,rope,True,True,0.0001,1.28917,1.26956,1.28917,0.41978
linear,2,1,absolute,True,True,0.0005,1.20069,1.20075,1.20069,0.42234
linear,1,2,rope,True,False,0.0005,1.3351,1.32737,1.3351,0.424
linear,1,2,absolute,True,False,0.0001,1.17626,1.16971,1.17626,0.42924
linear,1,1,rope,True,False,3e-05,1.20104,1.19904,1.20104,0.44298
linear,1,1,rope,True,False,0.0005,1.35576,1.35725,1.35576,0.44999
linear,2,2,rope,False,False,0.0001,1.24845,1.25096,1.24845,0.45146
linear,2,2,rope,False,True,3e-05,1.24764,1.23877,1.24764,0.47215
linear,1,2,rope,False,False,0.0005,1.26882,1.27296,1.26882,0.47364
linear,2,2,rope,True,False,0.0005,1.25883,1.25953,1.25883,0.47754
linear,2,2,rope,False,True,0.0005,1.3795,1.36335,1.3795,0.47944
linear,1,2,rope,False,True,3e-05,1.24355,1.24301,1.24355,0.48162
linear,2,2,rope,False,False,3e-05,1.32878,1.31428,1.32878,0.48462
linear,2,1,absolute,False,False,0.0005,1.18861,1.1883,1.18861,0.50266
linear,1,2,absolute,False,True,3e-05,1.23767,1.23284,1.23767,0.50402
linear,1,2,absolute,True,False,0.0005,1.39767,1.39488,1.39767,0.50954
linear,1,2,rope,True,False,3e-05,1.21169,1.20859,1.21169,0.51124
linear,2,1,rope,True,True,3e-05,0.97181,0.97538,0.97181,0.51387
linear,1,2,absolute,True,True,3e-05,1.24005,1.25109,1.24005,0.52013
linear,2,2,rope,False,False,0.0005,1.21952,1.22066,1.21952,0.52918
linear,1,1,rope,True,False,0.0001,1.3289,1.32932,1.3289,0.53456
linear,1,2,rope,False,False,3e-05,1.21846,1.22373,1.21846,0.54629
linear,2,2,absolute,True,False,0.0001,1.38682,1.39386,1.38682,0.5537
linear,1,1,rope,False,True,0.0001,1.39805,1.38383,1.39805,0.58132
linear,2,2,rope,True,False,3e-05,1.24604,1.24941,1.24604,0.58304
linear,1,1,rope,True,True,0.0001,1.24242,1.23912,1.24242,0.58343
linear,2,1,rope,True,False,0.0005,1.46328,1.45617,1.46328,0.58922
linear,1,2,rope,False,False,0.0001,1.40437,1.41032,1.40437,0.62687
linear,1,1,rope,True,True,0.0005,1.40138,1.40073,1.40138,0.64072
linear,2,1,absolute,False,True,0.0001,1.25759,1.25594,1.25759,0.68594
linear,1,1,absolute,True,True,0.0001,1.49176,1.48572,1.49176,0.68739
linear,2,2,rope,False,True,0.0001,1.40693,1.4041,1.40693,0.6906
linear,1,1,absolute,False,False,0.0005,1.54021,1.54056,1.54021,0.73851
linear,2,1,rope,True,False,0.0001,1.40301,1.40239,1.40301,0.73986
