context_idx,tok=0,tok=1
0,0.6765007,0.32349935
1,0.5730826,0.42691743
2,0.47922724,0.52077276
3,0.5037555,0.49624455
4,0.4944086,0.5055914
5,0.52223384,0.47776613
6,0.40052724,0.59947276
7,0.33385134,0.66614866
